,,,,,,,,,,,
,,,,,,,,,,,
Age(Period),Age(Ma),Rock Type,Geologic Environment,SiO2 %,TiO2 %,MgO %,FeO* %,K2O %,Latitude,Longitude,database 
Ogliocene,23.1,Basalt,intraplate craton,50.19,1.75,8.77,,0.58,38,119,PetDB
Ogliocene,23.1,Basalt,intraplate craton,49.9,1.72,8.77,,0.47,38,119,PetDB
Ogliocene,23,Basalt,intraplate craton,48.26,1.72,10.27,,1.07,38,119,PetDB
Ogliocene,23,Basalt,intraplate craton,47.71,1.69,9.81,,1.12,38,119,PetDB
Ogliocene,26.8,Andesite ,volcanic arc,57.11,0.97,2.59,6.99,2,54.8361,176.917,PetDB
Ogliocene,27.7,Andesite ,volcanic arc,56.43,0.98,3.12,7.43,1.76,54.8361,176.918,PetDB
Ogliocene,27.2,Andesite ,volcanic arc,57.18,0.98,2.8,7.25,1.91,54.8361,176.918,PetDB
Eocene,54.1,Andesite ,volcanic arc,60.49,1.14,2.22,9.55,1.38,52.2867,-172.45,PetDB
Eocene,52,Andesite ,volcanic arc,61.76,0.93,2.41,7.08,1.37,52.2658,-172.586,PetDB
Eocene,38.8,Andesite ,volcanic arc,60.8,0.95,2.55,8.29,1.32,52.3121,-172.59,PetDB
Eocene,53,Andesite ,volcanic arc,62.36,0.9,2.08,,1.53,52.316,-172.51,PetDB
Eocene,39,Andesite ,volcanic arc,59.2,,,,1.253,58.279,-154.953,PetDB
Eocene,43,Andesite ,volcanic arc,61.1,,,,1.644,58.1574,-155.398,PetDB
Eocene,54,Andesite ,volcanic arc,57.3,,,,1.479,58.3572,-155.104,PetDB
Eocene,44,Andesite ,volcanic arc,62.1,,,,1.403,58.2343,-155.103,PetDB
Eocene,54,Andesite ,volcanic arc,57.3,0.81,3.91,7.12,1.479,58.35,-155.1,PetDB
Eocene,52.8,Basalt ,convergent margin,48.21,2.13,8.01,,0.65,18.054,-71.116,PetDB
Eocene,53.7,Basalt ,convergent margin,47.39,2.8,10.29,,1.08,-45.77,-71.78,PetDB
Eocene,53.6,Basalt ,convergent margin,47.32,2.85,9.74,,1.09,-45.77,-71.78,PetDB
Eocene,39,Basalt ,spreading center,,,,,0.26,-10.017,-110.1,PetDB
Eocene,50.4,Basalt ,seamount,48.63,1.24,7.47,12.8,0.12,51.1984,167.768,PetDB
Eocene,52.6,Basalt ,seamount,46.5,2.07,5.95,11.1,1.09,51.1984,167.768,PetDB
Eocene,48,Basalt ,seamount,47.58,3.8,2.67,,1.8,-35.8574,-169.895,PetDB
Eocene,50.9,Basalt ,seamount,43.71,3.03,13.78,,1,-38.0383,-168.265,PetDB
Eocene,49.4,Basalt ,seamount,42.3,4.69,2.14,,1.89,-38.1717,-168.66,PetDB
Eocene,44,Basalt ,seamount,44.8,4.07,4.29,,1.69,-39.0971,-167.525,PetDB
Eocene,44,Basalt ,seamount,45.54,3.68,7.36,,1,-39.2183,-167.618,PetDB
Eocene,43.9,Basalt ,seamount,44.53,4.41,4.71,,1.14,-39.2183,-167.618,PetDB
Eocene,43,Basalt ,seamount,,,,,,-39.6767,-166.643,PetDB
Eocene,41.3,Basalt ,seamount,47.2,3.26,5.61,,1.13,-39.865,-166.045,PetDB
Eocene,40,Basalt ,seamount,46.51,4.08,6.27,,2.02,-40.445,-165.74,PetDB
Eocene,40,Basalt ,seamount,46.76,3.83,4.45,,2.16,-40.445,-165.74,PetDB
Eocene,39.4,Basalt ,seamount,47.71,3.63,4.18,,1.34,-40.445,-165.74,PetDB
Eocene,40.4,Basalt ,seamount,46.9,3.45,6.19,,1.16,-40.445,-165.74,PetDB
Eocene,39.8,Basalt ,seamount,47.58,4.28,3.91,,1.55,-40.445,-165.74,PetDB
Eocene,38.9,Basalt ,seamount,46.89,3.7,3.47,,1.33,-40.7417,-165.46,PetDB
Eocene,34.7,Basalt ,seamount,46.91,3.78,4.69,,1.42,-41.8783,-163.698,PetDB
Eocene,43.6,Basalt ,intraplate craton,47.88,1.91,4.98,,2.19,38,119,PetDB
Eocene,43.6,Basalt ,intraplate craton,49.32,1.96,5.28,,1.4,38,119,PetDB
Eocene,42,Basalt ,intraplate craton,49.89,1.88,5.21,,1.49,38,119,PetDB
Eocene,42,Basalt ,intraplate craton,49.92,1.76,5.78,,1.51,38,119,PetDB
Eocene,44.9,Basalt ,intraplate craton,42.99,2.07,5.96,,2.59,38,119,PetDB
Eocene,44.9,Basalt ,intraplate craton,44.86,2.19,5.03,,3.09,38,119,PetDB
Eocene,46.9,Basalt ,intraplate craton,46.89,1.72,6.94,,1.49,38,119,PetDB
Eocene,49.2,Basalt ,intraplate craton,45.86,1.91,5.34,,3.19,38,119,PetDB
Eocene,49.2,Basalt ,intraplate craton,45.64,1.99,4.83,,3.38,38,119,PetDB
Eocene,49.2,Basalt ,intraplate craton,45.73,1.86,5.42,,2.63,38,119,PetDB
Eocene,46.9,Basalt ,intraplate craton,46.2,1.97,7.69,,1.55,38,119,PetDB
Eocene,45.5,Basalt ,intraplate craton,46.6,1.73,7.9,,1.41,38,119,PetDB
Eocene,38.13,Andesite ,volcanic arc,52.55,1.15,4.86,,0.74,51.6918,-176.581,PetDB
Paleocene,65.3,Andesite ,volcanic arc,58.81,1.12,3.16,9.5,1.15,52.2785,-172.471,PetDB
Paleocene,63.4,Basaltic Andesite,volcanic arc,55.55,0.89,4.14,8,0.94,52.3083,-172.511,PetDB
Paleocene,59,Andesite ,volcanic arc,60.6,,,,1.344,58.1946,-155.254,PetDB
Paleocene,61.4,Basalt,intraplate off-craton,48.13,2.743,6.55,10.76,0.3,9.38,-84.1365,PetDB
Paleocene,60,Basalt,convergent margin,47.21,2.28,8.66,,0.24,9.5,-84,PetDB
Paleocene,60,Basalt,convergent margin,47.82,2.73,7.21,,0.39,9.5,-84,PetDB
Paleocene,60,Basalt,convergent margin,46.26,1.13,8.89,,0.16,9.5,-84,PetDB
Paleocene,60,Basalt,convergent margin,48.51,1.34,7.38,,0.05,9.5,-84,PetDB
Paleocene,62.1,Basalt,convergent margin,50.12,1.02,6.49,,0.49,9.5,-84,PetDB
Paleocene,60,Basalt,convergent margin,49.15,0.89,10.63,,0.1,9.5,-84,PetDB
Cretaceous,82.9,Andesite,volcanic arc,58.46,1.13,3.26,8.74,0.84,52.2758,-172.493,PetDB
Cretaceous,66,Andesite,volcanic arc,57.57,1.02,2.71,7.18,1.16,52.3867,-172.427,PetDB
Cretaceous,86.3,Andesite,volcanic arc,54.69,0.83,4.29,7.16,0.69,52.2701,-172.518,PetDB
Cretaceous,123.5,Andesite,volcanic arc,58.6,1.25,2.87,9.1,1.04,52.3683,-172.49,PetDB
Cretaceous,127.9,Andesite,volcanic arc,54.2,0.92,4.38,8.68,0.76,52.37,-172.497,PetDB
Cretaceous,111,Andesite,volcanic arc,54.8,0.94,4.5,9.21,0.78,52.2775,-172.629,PetDB
Cretaceous,114.8,Andesite,volcanic arc,61.4,0.99,1.96,9.77,1.68,52.288,-172.629,PetDB
Cretaceous,133,Andesite,volcanic arc,61.7,1.05,1.75,9.68,1.49,52.3352,-172.575,PetDB
Cretaceous,80.7,Andesite,volcanic arc,52.9,0.77,5.68,9.39,0.53,52.3598,-172.538,PetDB
Cretaceous,73.6,Andesite,volcanic arc,56.4,1.05,4.03,10.21,0.85,52.3573,-172.547,PetDB
Cretaceous,98.4,Andesite,volcanic arc,62.8,1.04,1.75,8.39,1.33,52.3543,-172.559,PetDB
