License: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Qin, Ben; Fang, Huang; Shichun, Huang; Andre, Python; Yunfeng, Chen; J, ZhangZhou, 2022, ""Global mantle clinopyroxene data (major and trace elements)"", https://doi.org/10.25625/AVAW2Y, GRO.data, V2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITATIONS,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ROCK NAME,ROCK TEXTURE,MINERAL,SPOT,RIM/CORE (MINERAL GRAINS),PRIMARY/SECONDARY,SC(PPM),TI(PPM),V(PPM),CR(PPM),NI(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),PB(PPM),TH(PPM),U(PPM),Petrography,Note,Labelled by LREE
[19448] MCCOY-WEST A. J. (2015),samp. P80290,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,60.23,77.02,117.35,7383,366.1,0.093,132.2,2.501,6.01,1.083,20.3,6.447,9.52,0.841,2.974,0.655,0.2223,0.645,0.0959,0.531,0.0916,0.224,0.0315,0.175,0.0267,0.0761,0.0428,0.653,3.474,1.473,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80290,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,67.4,95.3,122.03,5782,400.5,0.074,297.3,2.922,11.72,1.334,10.4,13.73,20.98,1.742,5.432,1.015,0.31,0.912,0.1229,0.662,0.1086,0.269,0.0295,0.203,0.0263,0.1176,0.0609,0.816,5.62,1.791,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80290,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,66.42,100.1,121.64,5201,416.4,0.0947,327.8,2.847,9.83,1.434,15.5,14.47,21.09,1.704,5.378,0.947,0.318,0.863,0.1225,0.665,0.1076,0.266,0.0285,0.173,0.0261,0.1049,0.0621,0.903,6.068,1.951,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80290,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,65.02,146.7,119.76,7297,364.5,0.078,249.7,3.486,32.83,1.235,13.7,11.98,20.99,1.929,6.342,1.14,0.3594,0.978,0.1443,0.759,0.1287,0.319,0.039,0.224,0.033,0.262,0.0718,0.749,4.846,1.534,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80290,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,66.92,47.17,121.8,7040,373.1,0.1129,282.5,2.979,32.37,1.519,21,13.24,21.33,1.823,5.718,0.93,0.295,0.783,0.1158,0.613,0.1039,0.279,0.0335,0.186,0.0293,0.212,0.071,0.842,5.36,1.834,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80290,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,67.1,98.1,121.21,6346,399.5,0.078,259,2.931,13.64,1.78,9.3,12.68,19.41,1.643,5.31,0.937,0.321,0.872,0.1268,0.678,0.1095,0.27,0.032,0.173,0.0252,0.1222,0.0779,0.766,5.57,1.8,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80291,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,71.59,277.7,138.4,6429,397.5,0.229,580,29.93,159.7,2.04,9.5,36.1,105,13.73,56.2,10.78,3.39,7.89,1.142,6.2,1.075,2.774,0.3394,1.891,0.2509,1.602,0.0827,0.463,1.21,0.242,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80291,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,62.98,342.3,109.88,6263,392.9,0.181,341.4,13.88,51.81,1.791,18.34,24.44,63.36,7.765,29.41,5.314,1.656,3.808,0.524,2.906,0.4838,1.275,0.1542,0.893,0.1203,0.582,0.0594,0.521,1.195,0.3,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80291,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,65.86,561.3,109.61,5696,405.5,0.0958,400,22.16,126,1.158,11.3,25.52,75.69,9.95,40.32,7.85,2.473,6,0.852,4.747,0.825,2.115,0.2622,1.474,0.1999,1.437,0.0597,0.469,0.677,0.1544,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80291,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,100.9,911.2,145.1,7900,1119,1.703,457.3,51.83,391.5,2.026,1.71,39.65,128.6,18.6,82.5,17.7,5.378,14.26,2.04,11.57,1.935,4.969,0.582,3.237,0.406,8.22,0.1399,0.527,0.589,0.1115,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80291,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,OHIRA BAY,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,73.74,992,121.3,6547,532,1.34,561.8,37.15,283,5.64,14.5,39.1,119.4,16.49,70.6,13.98,4.249,10.54,1.479,8.16,1.347,3.594,0.414,2.404,0.3058,4.612,0.346,0.442,1.25,0.319,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80353,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,86.88,406.4,271.8,3013,258,0.0015,1.354,4.226,0.494,0.0049,0,0.0091,0.0582,0.0158,0.147,0.119,0.0543,0.309,0.0737,0.634,0.1552,0.522,0.0799,0.565,0.0933,0.0245,0,0.0041,0.00015,0.00021,,,No metasomatism
[19448] MCCOY-WEST A. J. (2015),samp. P80353,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,92.23,415.2,276.5,3066,252.8,0.0031,1.136,4.402,0.494,0.005,0,0.006,0.0501,0.0174,0.154,0.131,0.0535,0.308,0.0738,0.644,0.1616,0.562,0.0802,0.593,0.094,0.0314,0,0.0041,0.00025,0.00015,,,No metasomatism
[19448] MCCOY-WEST A. J. (2015),samp. P80353,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,89.51,415.9,271.4,3085,251.9,0.0032,1.158,4.323,0.56,0.0069,0.0012,0.0076,0.0499,0.0172,0.146,0.121,0.0516,0.303,0.0738,0.644,0.1613,0.54,0.0817,0.591,0.0983,0.0301,0.00013,0.0059,0,0.000074,,,No metasomatism
[19448] MCCOY-WEST A. J. (2015),samp. P80353,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,90.29,427.1,270.5,2922,247.9,0.0012,1.082,4.386,0.554,0.0052,0,0.0072,0.048,0.017,0.1379,0.121,0.0543,0.308,0.0741,0.657,0.157,0.554,0.0835,0.565,0.0971,0.0311,0,0.0042,0.00012,0.0001,,,No metasomatism
[19448] MCCOY-WEST A. J. (2015),samp. P80353,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,88.65,423.7,279.8,3160,252.8,0,1.178,4.341,0.554,0.0062,0,0.007,0.0546,0.017,0.139,0.117,0.0523,0.301,0.0765,0.623,0.1568,0.564,0.0823,0.583,0.0881,0.0299,0.00014,0.0049,0.00018,0.0002,,,No metasomatism
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,95.86,450.1,152,5321,317.2,0.009,81.75,2.602,14.57,0.1546,0.0348,2.495,4.918,0.703,3.489,1.018,0.2892,0.978,0.1344,0.686,0.1011,0.238,0.0284,0.192,0.0327,0.401,0.027,0.774,0.029,0.0548,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,98.22,397.2,156.58,5397,318.7,0.0012,87.33,2.628,13.56,0.1565,0.0238,2.592,5.129,0.714,3.51,0.944,0.2812,0.979,0.1291,0.664,0.1015,0.252,0.0307,0.195,0.0337,0.271,0.0284,0.772,0.0323,0.0537,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,90.31,469.8,145.62,6593,318.2,0.0027,86.72,2.691,15.38,0.1751,0.0229,2.508,4.949,0.73,3.675,1.004,0.296,1.031,0.1334,0.682,0.1124,0.257,0.029,0.194,0.0325,0.406,0.0364,0.79,0.0295,0.0574,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,97.58,424.9,153.58,5354,318.6,0.0028,84.54,2.645,14.52,0.1871,0.0475,2.666,5.227,0.722,3.635,1.003,0.288,0.992,0.1305,0.662,0.1101,0.256,0.0294,0.199,0.0353,0.33,0.0293,0.778,0.0526,0.0604,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,91.67,468,146.15,5103,319.8,0.0013,76.57,2.573,14.77,0.1383,0.0161,2.317,4.73,0.688,3.626,0.993,0.297,1.021,0.1343,0.673,0.1051,0.241,0.0267,0.207,0.0308,0.497,0.028,0.775,0.0218,0.0452,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,92.17,465.4,148.33,5072,319.8,0,79.51,2.557,14.28,0.1372,0.0198,2.273,4.724,0.69,3.593,0.986,0.2856,0.994,0.1339,0.647,0.1031,0.235,0.0277,0.195,0.0314,0.482,0.0262,0.784,0.021,0.0439,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,96.5,425.3,150.36,5557,317.3,0,86.41,2.674,14.32,0.1659,0.0353,2.576,5.034,0.715,3.663,1.012,0.2999,1.014,0.132,0.691,0.1095,0.251,0.0308,0.201,0.0322,0.329,0.0286,0.792,0.0349,0.0567,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,90.7,505.7,148.22,6467,320.5,0,84.77,2.63,15.78,0.1524,0.0187,2.362,4.773,0.695,3.664,0.987,0.283,1.03,0.1373,0.665,0.1094,0.243,0.0297,0.2,0.0325,0.525,0.0312,0.795,0.0228,0.0512,,,
[19448] MCCOY-WEST A. J. (2015),samp. P80354A,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / CHATHAM PROVINCE,SNAKE,-43.88,-43.88,-176.52,-176.52,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,98.95,433.6,158.18,5426,312.3,0.0016,82.95,2.626,14.25,0.1576,0.038,2.561,5.184,0.718,3.539,0.954,0.299,0.981,0.1318,0.686,0.107,0.25,0.0298,0.185,0.0331,0.317,0.0256,0.76,0.0351,0.0579,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,79.68,197.7,151.4,7285,333.1,0.0149,149.1,1.912,3.784,3.212,0.135,17.64,12.99,0.584,1.352,0.214,0.0851,0.215,0.0328,0.232,0.0661,0.29,0.0505,0.392,0.0733,0.1006,0.2694,0.067,2.333,0.516,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,72.84,173.3,142.8,8145,322.8,0.008,133.8,1.939,3.565,2.374,0.0107,15.84,11.24,0.49,1.288,0.219,0.0818,0.208,0.031,0.241,0.0637,0.287,0.0508,0.434,0.073,0.083,0.2108,0.0676,2.083,0.502,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,83.26,185.8,151.05,7580,317.3,0.0068,147.3,1.984,3.705,7.01,0.041,16.04,10.78,0.472,1.251,0.223,0.0761,0.216,0.0315,0.248,0.0702,0.278,0.0512,0.41,0.0694,0.106,0.2312,0.0609,2.626,0.518,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,92.57,144.4,167,6840,345.7,0.0034,114.5,1.759,3.138,2.069,0.0238,13.55,9.94,0.471,1.11,0.188,0.0712,0.179,0.026,0.217,0.0589,0.25,0.0485,0.41,0.0695,0.0707,0.0741,0.1334,2.277,0.484,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,73.89,177.5,144,8259,321.9,0.0033,142.3,1.917,3.541,3.405,0.032,16.82,12.04,0.521,1.261,0.241,0.0814,0.222,0.0301,0.227,0.0664,0.273,0.0501,0.41,0.0706,0.0965,0.2608,0.082,2.258,0.5455,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,78.47,163.8,149.8,7611,302,0.0021,141.4,1.986,3.456,2.233,0.0154,15.83,11.55,0.498,1.222,0.192,0.0839,0.228,0.0282,0.238,0.0686,0.263,0.0518,0.432,0.0785,0.0792,0.203,0.0599,1.828,0.4259,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,76.6,157.5,153.9,7401,312.9,0.0031,133.6,1.851,3.308,2.005,0.0134,15.27,10.84,0.481,1.286,0.21,0.0851,0.185,0.0301,0.214,0.0607,0.25,0.0497,0.415,0.0715,0.0749,0.1998,0.0672,1.87,0.454,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-1,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"FORTIFICATION, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,90.33,142.9,171.6,6337,315.1,0.0028,128,1.819,2.996,1.861,0.0117,15.01,11.02,0.493,1.237,0.241,0.0807,0.206,0.0321,0.216,0.0624,0.251,0.0486,0.393,0.0704,0.0588,0.1258,0.0641,1.81,0.4194,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,73.02,1673,276.9,6508,319.1,0.0037,21.39,13.71,8.27,0.1319,0.006,1.241,2.997,0.405,1.96,0.775,0.326,1.461,0.2912,2.328,0.503,1.559,0.2256,1.437,0.2154,0.333,0.0466,0.0919,0.0736,0.0175,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,69.27,1675,269.5,6970,318.2,0.0035,22.96,13.83,8.81,0.1448,0,1.256,3.127,0.43,2.021,0.84,0.3442,1.493,0.2845,2.209,0.4995,1.578,0.2224,1.456,0.2101,0.344,0.0734,0.0867,0.0783,0.0213,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,76.61,1620,271.6,6247,322.2,0.0025,23.42,13.24,8.74,0.188,0,1.191,2.959,0.401,1.941,0.783,0.328,1.423,0.2811,2.188,0.487,1.516,0.2155,1.371,0.214,0.352,0.0713,0.0427,0.0698,0.017,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,67.9,1593,261.7,7076,341.2,0.0049,23.54,13.66,8.89,0.17,0,1.276,3.224,0.439,2.15,0.83,0.3285,1.391,0.2951,2.218,0.5002,1.524,0.2193,1.465,0.2087,0.338,0.075,0.0652,0.0875,0.0215,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,72.06,1714,272.1,6363,316.9,0.0018,20.86,14.12,8.13,0.1271,0,1.192,2.906,0.396,1.877,0.795,0.3221,1.44,0.2993,2.308,0.526,1.626,0.2303,1.517,0.2112,0.32,0.0531,0.072,0.069,0.0181,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,73.13,1535,274.2,5344,326.4,0.0033,21.3,13.2,7.15,0.129,0,1.191,2.952,0.407,1.844,0.759,0.304,1.414,0.2855,2.191,0.491,1.492,0.2212,1.422,0.2116,0.298,0.0472,0.0811,0.0673,0.0181,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,74.75,1782,266.8,7185,323.1,0.0045,22.4,13.78,10.13,0.1019,0,1.156,3.08,0.431,2.15,0.824,0.333,1.463,0.2956,2.244,0.492,1.571,0.2249,1.503,0.2118,0.402,0.049,0.069,0.0613,0.0162,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-2,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"LHERZOLITE, XENOLITH",,CLINOPYROXENE,,,secondary,78.88,1728,274.7,6270,348.4,0.0032,21.17,12.82,9.25,0.1103,0,1.082,2.703,0.371,1.779,0.72,0.2991,1.333,0.267,2.101,0.4768,1.511,0.2159,1.392,0.2039,0.378,0.0406,0.0898,0.0665,0.0147,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-4,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,57.39,110,153.6,5168,349.5,0.013,14.19,0.985,5.206,0.315,0.0163,1.029,2.411,0.312,1.335,0.282,0.0806,0.239,0.0307,0.155,0.0339,0.1227,0.0219,0.205,0.037,0.18,0.0516,0.062,0.1124,0.0872,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-4,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,61.68,128,153.2,5036,333.6,0.003,12.74,1.09,6.55,0.393,0.0126,1.142,2.313,0.26,1.177,0.265,0.0669,0.25,0.0285,0.181,0.0399,0.14,0.027,0.235,0.0395,0.222,0.0519,0.0982,0.177,0.1383,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-4,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,63.02,118.4,154.4,4778,345,0.259,14.18,1.023,6.047,0.314,0.032,0.79,2.019,0.276,1.198,0.265,0.0772,0.242,0.0319,0.17,0.0328,0.1421,0.0244,0.228,0.0382,0.201,0.0468,0.0556,0.032,0.0655,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-4,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,67.56,120.5,155,4333,381,0.1002,12.98,1.004,5.98,0.667,0.0035,2.318,4.095,0.384,1.373,0.287,0.0784,0.249,0.0295,0.161,0.0323,0.1252,0.0244,0.222,0.0345,0.208,0.0695,0.1269,0.569,0.2805,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-4,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,90.41,137.4,173.3,4631,428.3,0.139,14.62,1.36,25.51,1.029,0.305,9.92,18.39,1.547,4.11,0.536,0.1848,0.348,0.0427,0.235,0.0449,0.1626,0.0281,0.255,0.0413,0.362,0.1279,0.519,1.784,0.4804,,,
[19448] MCCOY-WEST A. J. (2015),samp. WFP-4,INTRAPLATE VOLCANICS,NEW ZEALAND / SOUTH ISLAND / SOUTHERN ALPS,"PEAK, WAITAHA DOMAIN",-43.77,-43.77,176.72,176.72,subaerial,"HARZBURGITE, XENOLITH",,CLINOPYROXENE,,,secondary,67.36,122.8,154.8,4565,348.1,0.0166,13.92,1.026,5.78,0.637,0.077,1.447,2.557,0.2856,1.166,0.254,0.0732,0.225,0.0294,0.1746,0.0341,0.145,0.0243,0.227,0.0394,0.218,0.0715,0.1408,0.2094,0.1509,,,
