License: Creative Commons Attribution 4.0 International (CC-BY 4.0) License.,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Tappe, Sebastian, 2022, ""Global magmatic kimberlite and carbonatite compositions (elemental and isotopic)"", https://doi.org/10.25625/FLV19S, Göttingen Research Online / Data, V1.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Global Database of Major Element Compositions for Bulk Group-1 Kimberlites and Aillikites as compiled in Tappe et al. (2017, EPSL; supplementary file E)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country / Region,Kimberlite Pipe / Cluster / Field,Kimberlite Group,Sample Number-1,Sample Number-2,Reference,Age [Ma],SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,LOI,,,
,,,,,,,,,,,,,,,,,,,,,,,
North America - Greenland,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K10A,Kjarsgaard et al. (2009),,33.50,1.61,1.70,4.70,4.30,0.14,33.94,6.02,0.05,0.09,0.24,9.40,4.30,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K10B,Kjarsgaard et al. (2009),,28.10,1.35,1.70,4.90,3.50,0.12,25.84,13.61,0.05,0.20,0.47,8.90,10.40,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K4A,Kjarsgaard et al. (2009),,25.70,1.53,1.60,2.80,5.00,0.14,28.42,15.04,0.07,0.05,0.52,5.00,12.60,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K9B,Kjarsgaard et al. (2009),,26.80,1.39,1.40,2.60,5.10,0.13,28.73,14.27,0.07,0.05,0.53,5.00,11.80,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K23B2,Kjarsgaard et al. (2009),,31.50,1.23,1.20,3.90,5.20,0.15,35.39,8.25,0.00,0.02,0.31,5.30,6.90,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K5A,Kjarsgaard et al. (2009),,19.90,1.22,1.20,1.80,4.40,0.13,21.00,23.76,0.07,0.10,0.57,4.00,19.60,,,,
"Somerset Island (Nunavut, Canada)",Somerset Island Batty Bay,Group-1 Kimberlite,,K10EE,Kjarsgaard et al. (2009),,32.00,0.99,0.90,3.70,5.00,0.12,33.41,7.31,0.05,0.28,0.24,6.90,8.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG A154,Group-1 Kimberlite,,A154 11-1,Kjarsgaard et al. (2009),55.5,36.80,0.36,2.60,,7.10,0.13,30.20,3.90,0.00,0.24,0.17,,,17.20,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG A154,Group-1 Kimberlite,,A154 11-2,Kjarsgaard et al. (2009),55.5,37.90,0.42,2.13,,7.71,0.13,34.80,2.28,0.00,1.42,0.30,,,11.40,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG A154,Group-1 Kimberlite,,A154 11-3,Kjarsgaard et al. (2009),55.5,37.90,0.42,2.00,,7.53,0.13,32.20,4.35,0.00,0.54,0.23,,,13.40,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Aaron,Group-1 Kimberlite,,DDH97-57@62.6,Kjarsgaard et al. (2009),55.5,34.60,0.39,2.00,2.74,5.00,0.16,38.25,6.67,0.01,1.08,0.42,5.20,3.80,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Aaron,Group-1 Kimberlite,,DDH97-57@63.3,Kjarsgaard et al. (2009),55.5,34.70,0.36,1.80,2.61,5.30,0.16,39.75,6.10,0.01,0.40,0.33,5.20,3.50,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Aaron,Group-1 Kimberlite,,DDH97-57@74.8,Kjarsgaard et al. (2009),55.5,35.80,0.30,1.90,3.64,4.10,0.15,37.57,4.36,0.01,0.90,0.35,7.80,2.70,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@162.65,Kjarsgaard et al. (2009),55.5,26.90,1.23,1.70,2.92,5.20,0.17,29.55,13.29,0.01,0.21,0.61,5.00,12.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@163.75,Kjarsgaard et al. (2009),55.5,27.80,1.11,1.70,2.23,5.10,0.16,27.94,15.20,0.01,0.33,0.54,5.10,11.50,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@170.4,Kjarsgaard et al. (2009),55.5,24.60,1.09,1.80,2.04,5.00,0.16,27.24,15.83,0.01,0.20,0.61,4.70,15.10,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@170.9,Kjarsgaard et al. (2009),55.5,29.20,0.88,1.70,1.71,5.30,0.17,32.24,11.66,0.01,0.48,0.47,3.80,11.10,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@171.2,Kjarsgaard et al. (2009),55.5,26.60,1.05,1.90,2.03,5.10,0.15,29.37,13.38,0.01,0.41,0.58,4.90,13.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@174.7,Kjarsgaard et al. (2009),55.5,28.50,1.06,2.00,2.25,4.90,0.17,28.33,14.10,0.01,0.58,0.57,4.90,11.50,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@174.9,Kjarsgaard et al. (2009),55.5,29.10,1.02,1.40,2.00,5.40,0.16,29.15,13.99,0.01,0.41,0.39,5.00,11.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@175.27,Kjarsgaard et al. (2009),55.5,28.20,1.02,1.40,1.78,5.50,0.16,28.66,14.58,0.01,0.45,0.44,4.40,12.60,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Anaconda,Group-1 Kimberlite,,DDH96-17@177,Kjarsgaard et al. (2009),55.5,27.50,1.08,1.50,2.17,5.60,0.16,29.09,14.10,0.01,0.42,0.47,4.00,13.10,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Arnie,Group-1 Kimberlite,,KIA92-KPL-1,Kjarsgaard et al. (2009),55.5,32.00,0.48,2.22,4.15,4.00,0.20,35.50,8.17,0.26,0.09,0.92,7.59,1.91,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Arnie,Group-1 Kimberlite,,KIA92-KPL-2,Kjarsgaard et al. (2009),55.5,31.90,0.48,2.23,4.10,4.00,0.20,34.90,8.17,0.26,0.10,0.97,7.70,2.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Arnie,Group-1 Kimberlite,,KIA92-KPL-3,Kjarsgaard et al. (2009),55.5,32.40,0.48,2.29,4.68,3.50,0.20,35.10,7.32,0.31,0.10,0.90,8.58,1.72,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Arnie,Group-1 Kimberlite,,KIA92-KPL-4,Kjarsgaard et al. (2009),55.5,33.00,0.46,2.48,5.03,3.90,0.19,35.90,6.90,0.12,0.08,0.73,6.43,2.02,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Arnie,Group-1 Kimberlite,,KIA92-KPL-5,Kjarsgaard et al. (2009),55.5,32.90,0.45,2.51,4.81,4.20,0.19,36.10,6.46,0.11,0.22,0.75,6.19,1.66,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG DD39,Group-1 Kimberlite,,DD39-5 37.0,Kjarsgaard et al. (2009),55.5,34.10,0.41,1.47,7.87,,0.17,31.80,9.35,0.10,0.85,0.36,,,12.40,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG DD39,Group-1 Kimberlite,,DD39-5 38.8,Kjarsgaard et al. (2009),55.5,35.40,0.45,2.25,6.85,,0.20,26.60,10.00,0.15,1.52,0.39,,,15.10,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG DD39,Group-1 Kimberlite,,DD39-5 44.2,Kjarsgaard et al. (2009),55.5,33.50,0.57,1.55,9.08,,0.19,36.90,6.38,0.07,0.22,0.55,,,10.90,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG DD39,Group-1 Kimberlite,,DD39-5 47.5,Kjarsgaard et al. (2009),55.5,33.60,0.55,1.44,9.47,,0.21,36.30,7.03,0.05,0.07,0.59,,,10.80,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG DD39,Group-1 Kimberlite,,DD39-5 69.4,Kjarsgaard et al. (2009),55.5,31.30,0.48,1.64,8.07,,0.20,30.30,11.70,0.13,0.46,0.54,,,14.00,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG DD39,Group-1 Kimberlite,,DD39-5 71.4,Kjarsgaard et al. (2009),55.5,29.50,0.49,1.45,8.22,,0.19,30.30,13.00,0.14,0.44,0.50,,,15.00,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92-02 X3,Kjarsgaard et al. (2009),55.5,34.30,0.44,1.96,8.67,,0.17,39.30,7.47,0.14,0.54,0.48,,,6.54,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92-02 X4,Kjarsgaard et al. (2009),55.5,33.80,0.43,1.86,8.32,,0.15,38.30,7.99,0.08,0.85,0.43,,,7.82,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92-02 X5,Kjarsgaard et al. (2009),55.5,33.80,0.43,2.15,8.44,,0.17,38.20,7.21,0.16,1.08,0.42,,,6.92,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92-02 X6,Kjarsgaard et al. (2009),55.5,33.30,0.39,1.82,8.28,,0.16,38.70,7.30,0.19,0.42,0.43,,,7.77,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92-02 X8,Kjarsgaard et al. (2009),55.5,33.50,0.42,1.93,8.33,,0.16,38.70,7.06,0.21,0.46,0.41,,,7.74,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92-02 X10,Kjarsgaard et al. (2009),55.5,33.10,0.41,1.96,8.35,,0.16,38.30,7.25,0.18,0.64,0.45,,,8.07,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92.02 X12,Kjarsgaard et al. (2009),55.5,33.30,0.42,1.95,8.39,,0.16,38.90,7.06,0.13,0.83,0.45,,,7.04,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92.02 X16,Kjarsgaard et al. (2009),55.5,33.70,0.42,2.31,7.95,,0.15,36.10,8.16,0.27,1.12,0.56,,,7.08,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92.02 X21,Kjarsgaard et al. (2009),55.5,34.10,0.42,2.07,8.47,,0.15,39.30,7.03,0.14,0.78,0.42,,,6.33,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,92.02 X26,Kjarsgaard et al. (2009),55.5,33.80,0.42,1.97,8.44,,0.17,38.70,6.85,0.12,0.97,0.42,,,6.90,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,DDH92-02@306.75,Kjarsgaard et al. (2009),55.5,32.10,0.48,2.30,3.43,4.20,0.16,34.88,8.60,0.01,1.56,0.58,6.20,5.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,DDH92-02@307.84,Kjarsgaard et al. (2009),55.5,31.70,0.48,2.30,3.43,4.20,0.16,35.08,9.38,0.01,1.10,0.55,6.60,5.00,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,DDH92-02@312.34,Kjarsgaard et al. (2009),55.5,32.00,0.54,2.10,3.16,4.80,0.17,36.75,9.72,0.01,0.62,0.68,4.90,4.80,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,DDH92-02@313.5,Kjarsgaard et al. (2009),55.5,32.90,0.54,2.20,2.93,5.10,0.18,37.42,8.46,0.01,0.67,0.70,4.40,4.60,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,DDH92-02@320.55,Kjarsgaard et al. (2009),55.5,33.00,0.50,2.00,2.93,5.10,0.17,37.47,9.10,0.10,0.81,0.49,4.40,4.10,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Grizzly,Group-1 Kimberlite,,DDH92-02@327.75,Kjarsgaard et al. (2009),55.5,33.30,0.55,2.50,3.04,5.00,0.17,36.81,8.42,0.01,1.13,0.54,4.70,3.80,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG HL Anne,Group-1 Kimberlite,,KIA96-HL-10-1,Kjarsgaard et al. (2009),55.5,31.00,0.68,2.50,5.13,3.60,0.18,33.00,6.77,0.13,0.64,0.59,8.40,5.47,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG HL Anne,Group-1 Kimberlite,,KIA96-HL-10-2,Kjarsgaard et al. (2009),55.5,31.20,0.64,2.14,5.10,3.70,0.17,33.00,7.31,0.11,0.44,0.50,8.40,5.81,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG HL Anne,Group-1 Kimberlite,,KIA96-HL-10-3,Kjarsgaard et al. (2009),55.5,31.10,0.66,2.16,5.20,3.70,0.18,33.20,6.66,0.10,0.45,0.51,8.20,5.38,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG HL Finlay,Group-1 Kimberlite,,KIA96-HL-12-1,Kjarsgaard et al. (2009),55.5,37.80,0.38,2.25,3.71,4.30,0.15,37.30,1.70,0.09,1.31,0.41,6.50,1.11,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG HL Finlay,Group-1 Kimberlite,,KIA96-HL-12-2,Kjarsgaard et al. (2009),55.5,36.40,0.33,1.95,3.38,4.40,0.14,36.50,3.78,0.08,1.26,0.40,5.40,2.89,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG HL Finlay,Group-1 Kimberlite,,KIA96-HL-12-3,Kjarsgaard et al. (2009),55.5,36.20,0.36,2.09,3.27,4.40,0.15,35.60,4.21,0.09,1.33,0.41,5.80,3.35,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Leslie,Group-1 Kimberlite,,KIA96-LESLIE-B-1,Kjarsgaard et al. (2009),55.5,32.00,0.54,1.43,3.88,4.40,0.16,38.00,6.10,0.09,0.23,0.41,6.10,4.73,,,,
