License: Creative Commons Attribution 4.0 International (CC-BY 4.0) License.,,,,,,,,,,,,,,,,,,,,,,,
"Citation: Tappe, Sebastian, 2022, ""Global magmatic kimberlite and carbonatite compositions (elemental and isotopic)"", https://doi.org/10.25625/FLV19S, Göttingen Research Online / Data, V1.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Global Database of Major Element Compositions for Bulk Group-1 Kimberlites and Aillikites as compiled in Tappe et al. (2017, EPSL; supplementary file E)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Country / Region,Kimberlite Pipe / Cluster / Field,Kimberlite Group,Sample Number-1,Sample Number-2,Reference,Age [Ma],SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,LOI,,,
,,,,,,,,,,,,,,,,,,,,,,,
North America - Greenland,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery East,Group-1 Kimberlite,,DDH93-13@25.75,Kjarsgaard et al. (2009),55.5,31.60,0.36,2.70,4.33,2.40,0.13,29.32,10.57,0.10,1.88,0.48,8.80,7.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery East,Group-1 Kimberlite,,DDH93-13@36,Kjarsgaard et al. (2009),55.5,32.80,0.39,2.20,3.14,4.10,0.15,32.68,9.52,0.01,1.66,0.61,5.80,6.50,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery East,Group-1 Kimberlite,,DDH93-13@36.35,Kjarsgaard et al. (2009),55.5,33.80,0.39,2.30,3.36,3.90,0.15,32.10,8.30,0.01,1.82,0.59,7.60,5.70,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Misery East,Group-1 Kimberlite,,DDH93-13@8.4,Kjarsgaard et al. (2009),55.5,35.10,0.39,2.10,3.99,3.70,0.16,34.63,5.81,0.10,1.00,0.61,8.80,3.60,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Rat,Group-1 Kimberlite,,DDH94-08@257.75,Kjarsgaard et al. (2009),55.5,27.90,1.32,1.50,3.07,5.60,0.19,29.99,12.22,0.01,0.53,0.41,3.70,13.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Rat,Group-1 Kimberlite,,DDH94-08@269.40B,Kjarsgaard et al. (2009),55.5,28.80,1.51,1.70,3.04,5.90,0.20,31.12,11.61,0.01,0.46,0.43,4.00,11.50,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Rattler,Group-1 Kimberlite,,DDH96-13@233.25,Kjarsgaard et al. (2009),55.5,29.80,1.17,2.00,4.31,4.40,0.18,32.26,9.74,0.10,1.28,0.52,5.90,8.20,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Rattler,Group-1 Kimberlite,,DDH96-13@234.5,Kjarsgaard et al. (2009),55.5,27.50,1.34,2.20,4.90,3.60,0.18,31.94,10.33,0.10,0.85,0.62,7.90,8.30,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Rattler,Group-1 Kimberlite,,DDH96-13@237.3,Kjarsgaard et al. (2009),55.5,27.40,1.70,2.10,5.45,4.00,0.21,32.09,9.42,0.01,0.61,0.71,8.60,7.80,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Rattler,Group-1 Kimberlite,,DDH96-13@238.6,Kjarsgaard et al. (2009),55.5,31.30,1.10,1.60,2.77,5.60,0.17,32.88,10.79,0.01,1.08,0.51,4.00,8.00,,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG T35,Group-1 Kimberlite,,T35-1 82.6,Kjarsgaard et al. (2009),55.5,33.50,0.48,2.39,8.86,,0.19,37.00,6.48,0.08,0.07,0.72,,,8.48,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG TR107,Group-1 Kimberlite,,TR107-3 82.1,Kjarsgaard et al. (2009),55.5,33.60,0.48,2.44,8.96,,0.20,37.00,6.14,0.06,0.10,0.76,,,8.80,,,
"Central Slave Province, Lac de Gras (N.W.T., Canada)",LDG Diavik,Group-1 Kimberlite,,A21,Graham et al. (1999),55.5,29.42,1.14,1.32,9.22,,0.19,33.17,12.57,0.11,0.09,0.55,,,11.06,,,
,,,,,,,,,,,,,,,,,,,,,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,SNP-1,Kjarsgaard et al. (2009),530,34.70,0.84,3.12,,8.24,0.21,30.50,3.91,0.00,0.88,0.42,,,15.10,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,SNP-2,Kjarsgaard et al. (2009),530,31.10,0.56,1.41,,8.48,0.16,38.20,6.67,0.01,0.23,0.41,,,11.20,,,
"SE Slave Province (N.W.T., Canada)",Gahcho Kue,Group-1 Kimberlite,,5034-AK2-E347,Caro & Kopylova (1994),530,36.93,0.67,2.69,2.73,5.45,0.15,34.69,7.38,0.27,0.51,0.49,6.14,0.77,,,,
"SE Slave Province (N.W.T., Canada)",Gahcho Kue,Group-1 Kimberlite,,KDY-1,Kjarsgaard et al. (2009),530,31.06,0.54,1.43,8.43,,0.15,38.84,6.76,0.02,0.23,0.47,6.32,4.88,11.20,,,
,,,,,,,,,,,,,,,,,,,,,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite / Carbonatite,,Sl1,Agashev et al. (2008),530,16.99,0.49,2.15,9.43,,0.23,22.57,16.73,0,0.62,0.81,,28.52,2,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite / Carbonatite,,Sl2,Agashev et al. (2008),530,3.74,0.12,0.95,2.86,,0.19,18.86,31.88,0,0.24,4.51,,32.82,3.44,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite / Carbonatite,,Sl3,Agashev et al. (2008),530,10.79,0.4,2.17,13.21,,0.43,19.65,18.11,0,0.33,0.65,,30.61,3.96,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite / Carbonatite,,Sl4,Agashev et al. (2008),530,10.26,0.41,1.69,12.95,,0.42,19.33,19.57,0,0.36,1.11,,29.3,4.81,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl5,Agashev et al. (2008),530,36.01,0.73,2.82,9.41,,0.16,34.01,2.17,0,0.29,0.4,,1.77,12.13,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl001,Agashev et al. (2008),530,36.3,0.7,2.53,9.89,,0.14,34.07,2.21,0,0.76,0.26,,1.9,11.21,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl003,Agashev et al. (2008),530,34.36,0.72,2.53,10.11,,0.16,33.38,2.94,0,0.23,0.43,,2.04,13.04,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl006L,Agashev et al. (2008),530,39.71,0.74,3.11,8.59,,0.14,33.01,1.55,0,1.31,0.34,,0.86,10.52,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl2/5,Agashev et al. (2008),530,36.6,0.92,3.75,9.58,,0.14,32.91,1.71,0.01,1.57,0.27,,1.64,10.73,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl2/6,Agashev et al. (2008),530,36.3,0.87,3.2,8.22,,0.14,32.71,2.93,0,1.47,0.37,,2.69,10.82,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl2/7,Agashev et al. (2008),530,34.23,0.86,2.99,8.95,,0.15,33.28,3,0,1.26,0.32,,3.99,10.32,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl31,Agashev et al. (2008),530,35.56,0.68,2.68,8.49,,0.16,34.11,3.03,0,0.81,0.31,,3.21,10.86,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl15/78,Agashev et al. (2008),530,34.22,0.85,3.13,8.7,,0.16,31.92,4.5,0,1.45,1.22,,2.43,11.07,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl24/44,Agashev et al. (2008),530,35.9,0.79,2.76,8.32,,0.16,33.64,2.44,0,0.3,0.5,,1.38,13.29,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl39/77,Agashev et al. (2008),530,35.54,0.76,3.17,10.3,,0.15,33.07,2.18,0.05,1.35,0.28,,3.21,10.06,,,
"SE Slave Province (N.W.T., Canada)",Snap Lake,Group-1 Kimberlite,,Sl39/81,Agashev et al. (2008),530,34.57,0.7,2.53,6.14,,0.15,33.74,4.72,0,0.44,0.86,,5.43,10.32,,,
,,,,,,,,,,,,,,,,,,,,,,,
"N Slave Province (N.W.T., Canada)",Muskox,Group-1 Kimberlite,,KIA96-RHL-11-1,Kjarsgaard et al. (2009),,30.80,1.80,2.68,3.95,5.20,0.17,32.80,7.46,0.24,0.45,0.39,6.40,6.30,12.50,,,
"N Slave Province (N.W.T., Canada)",Muskox,Group-1 Kimberlite,,KIA96-RHL-11-2,Kjarsgaard et al. (2009),,29.80,1.85,2.99,4.08,4.70,0.17,30.70,8.69,0.24,0.59,0.42,6.90,7.25,13.90,,,
"N Slave Province (N.W.T., Canada)",Muskox,Group-1 Kimberlite,,KIA96-RHL-11-3,Kjarsgaard et al. (2009),,30.70,1.40,2.82,4.02,4.60,0.16,31.60,8.32,0.26,0.56,0.41,6.60,7.02,13.70,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,Phase 2,Price et al. (2000),,35.25,0.79,2.76,2.68,4.38,0.13,30.62,6.56,0.16,0.62,0.30,5.31,4.75,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,296G-A,Kjarsgaard et al. (2009),,26.45,1.64,2.33,,6.71,0.17,25.77,14.92,0.11,1.85,0.94,7.57,11.16,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,LGS-07-2,Price et al. (2000),,32.90,1.05,2.06,2.57,5.17,0.19,34.41,7.49,0.20,0.26,0.84,5.80,4.91,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,Phase 3,Price et al. (2000),,33.57,0.77,1.88,2.66,4.72,0.14,34.78,6.64,0.12,0.22,0.24,7.65,4.40,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,,Cookenboo (1999),,33.02,1.00,1.84,8.58,,0.17,35.86,6.96,0.13,0.18,0.49,6.07,4.85,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,296E-A,Kjarsgaard et al. (2009),,29.47,1.35,1.82,,7.36,0.17,28.35,11.28,0.09,1.46,0.61,9.40,8.27,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,Phase 1,Price et al. (2000),,33.04,0.99,1.78,2.50,5.51,0.16,36.12,6.79,0.12,0.16,0.43,6.19,6.96,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,296E-B,Kjarsgaard et al. (2009),,26.44,1.38,1.73,,6.80,0.17,26.10,15.08,0.12,1.43,0.80,8.14,11.35,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,JD-82,Price et al. (2000),,28.30,0.70,1.60,,6.63,0.16,23.10,16.70,0.19,0.50,0.80,6.70,12.10,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,296G-C,Kjarsgaard et al. (2009),,28.54,1.62,1.60,,7.38,0.18,28.68,12.16,0.09,1.19,0.37,8.52,9.29,,,,
"N Slave Province (N.W.T., Canada)",Jericho,Group-1 Kimberlite,,JD-62,Price et al. (2000),,27.00,0.50,1.30,,5.39,0.14,22.40,19.40,0.15,0.40,0.60,7.10,14.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,lgs 09,Kopylova & Hayman (2008),170,33.97,1.79,1.56,2.98,5.75,0.17,37.90,4.53,0.09,0.22,0.42,6.93,2.24,9.16,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,lgs 10,Kopylova & Hayman (2008),170,34.95,0.60,1.44,1.69,6.48,0.17,36.80,6.18,0.14,0.20,0.51,4.79,4.36,9.17,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 61,Kopylova & Hayman (2008),170,30.86,1.11,1.58,3.00,5.41,0.18,38.00,6.94,0.07,0.05,0.53,6.53,4.29,10.84,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,lgs 7,Kopylova & Hayman (2008),170,34.07,0.91,1.46,2.33,5.74,0.16,37.40,5.68,0.17,0.22,0.40,6.04,4.00,9.54,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 10,Kopylova & Hayman (2008),170,33.50,0.78,1.71,2.90,4.96,0.15,37.40,5.53,0.11,0.11,0.35,7.47,3.67,11.25,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,lgs 09,Kopylova & Hayman (2008),170,30.65,0.79,1.45,1.75,5.24,0.15,34.00,10.90,0.07,0.10,0.32,5.21,8.21,13.15,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 10,Kopylova & Hayman (2008),170,31.65,0.64,2.00,2.02,5.11,0.15,36.90,8.30,0.10,0.12,0.32,5.18,6.23,11.36,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 11,Kopylova & Hayman (2008),170,34.95,1.23,1.90,3.09,5.35,0.18,38.40,2.27,0.05,0.09,0.54,9.36,1.06,10.49,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 69,Kopylova & Hayman (2008),170,32.43,0.82,1.69,2.02,5.37,0.13,35.50,8.16,0.09,0.14,0.36,5.75,6.09,11.63,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,lgs 011,Kopylova & Hayman (2008),170,32.55,0.78,1.79,2.41,5.47,0.15,37.30,6.82,0.10,0.07,0.39,5.72,4.99,10.60,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 35,Kopylova & Hayman (2008),170,34.18,1.22,1.88,2.07,6.03,0.17,35.40,6.62,0.18,0.39,0.35,4.86,5.06,10.15,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 14,Kopylova & Hayman (2008),170,32.19,1.28,1.67,2.83,5.71,0.17,33.40,8.42,0.20,0.18,0.49,5.28,5.98,11.80,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 14,Kopylova & Hayman (2008),170,31.42,0.95,2.04,2.77,4.61,0.15,34.30,8.93,0.13,0.19,0.40,6.27,6.49,12.73,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 48,Kopylova & Hayman (2008),170,34.87,1.18,2.43,3.50,5.82,0.20,31.30,6.53,0.14,0.20,0.65,7.97,4.22,12.10,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK1 Main Dyke),Group-1 Kimberlite,,jd 10,Kopylova & Hayman (2008),170,33.36,0.80,2.08,2.18,5.66,0.14,37.80,6.13,0.10,0.10,0.39,5.39,4.29,9.70,,,
,,,,,,,,,,,,,,,,,,,,,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK2 Late Dyke),Group-1 Kimberlite,,lgs 07,Kopylova & Hayman (2008),170,34.04,0.82,2.10,2.16,5.36,0.17,35.30,7.12,0.15,0.41,0.68,5.91,4.84,10.35,,,
"N Slave Province (N.W.T., Canada)",Jericho (HK2 Late Dyke),Group-1 Kimberlite,,lgs 07,Kopylova & Hayman (2008),170,31.86,1.19,2.25,2.82,5.15,0.20,34.00,8.73,0.18,0.26,0.96,5.61,5.76,11.21,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Renard Cluster (Quebec, Canada)",Pipe-4,Group-1 Kimberlite,,R4,Birkett et al. (2004),655,35.09,0.99,2.10,7.65,,0.08,31.32,4.98,0.05,0.83,0.60,11.10,3.10,14.15,,,
"Renard Cluster (Quebec, Canada)",Pipe-4,Group-1 Kimberlite,,R4,Birkett et al. (2004),655,33.74,1.81,2.03,9.12,,0.13,34.40,4.49,0.03,0.72,0.31,8.20,2.70,10.90,,,
"Renard Cluster (Quebec, Canada)",Pipe-3,Group-1 Kimberlite,,R3,Birkett et al. (2004),655,33.97,0.63,1.81,8.27,,0.17,31.33,5.26,0.02,0.70,0.31,11.60,3.80,15.40,,,
"Renard Cluster (Quebec, Canada)",Pipe-4,Group-1 Kimberlite,,R4,Birkett et al. (2004),655,31.35,0.96,1.66,6.25,,0.14,28.75,10.10,0.01,0.52,0.13,10.30,7.90,18.15,,,
"Renard Cluster (Quebec, Canada)",Pipe-1,Group-1 Kimberlite,,R1,Birkett et al. (2004),655,33.98,0.59,1.63,7.47,,0.12,33.20,6.27,0.02,1.52,0.21,9.60,4.30,13.90,,,
"Renard Cluster (Quebec, Canada)",Pipe-1,Group-1 Kimberlite,,R1,Birkett et al. (2004),655,33.40,0.49,1.61,8.56,,0.15,35.50,5.91,0.05,0.97,0.44,8.40,2.60,11.00,,,
"Renard Cluster (Quebec, Canada)",Pipe-2,Group-1 Kimberlite,,R2,Birkett et al. (2004),655,31.40,0.85,1.41,8.21,,0.10,30.40,8.03,0.01,0.52,0.24,10.70,6.20,16.85,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Renard Cluster (Quebec, Canada)",Pipe-2,Group-1 Kimberlite,,RD-R2-3,Tappe et al. (2017a),655,30.5,1.09, 1.79 , 0.89 , 7.17 , 0.12 , 34.0 , 7.3 , 0.07 , 0.42 ,0.35,,5.1,15.6,,,
"Renard Cluster (Quebec, Canada)",Pipe-3,Group-1 Kimberlite,,RD-R3-07,Tappe et al. (2017a),655,30.5,0.86, 2.34 , 0.75 , 6.07 , 0.12 , 32.6 , 7.3 , 0.07 , 0.88 ,0.26,,5.4,17.3,,,
"Renard Cluster (Quebec, Canada)",Pipe-3,Group-1 Kimberlite,,RD-11646,Tappe et al. (2017a),655,33.6,1.14, 2.40 , 0.87 , 7.08 , 0.11 , 34.7 , 4.6 , 0.07 , 1.03 ,0.35,,2.6,13.4,,,
"Renard Cluster (Quebec, Canada)",Pipe-3,Group-1 Kimberlite,,RD-11649,Tappe et al. (2017a),655,31.9,0.82, 2.04 , 0.77 , 6.26 , 0.12 , 31.3 , 8.6 , 0.06 , 0.61 ,0.16,,6.1,17.0,,,
"Renard Cluster (Quebec, Canada)",Pipe-3,Group-1 Kimberlite,,RD-11650,Tappe et al. (2017a),655,29.9,0.85, 1.84 , 0.80 , 6.45 , 0.15 , 30.1 , 10.6 , 0.03 , 0.51 ,0.16,,7.7,18.4,,,
"Renard Cluster (Quebec, Canada)",Lynx Dyke,Group-1 Kimberlite,,RD-L221-3,Tappe et al. (2017a),655,19.5,5.76, 6.11 , 1.27 , 10.31 , 0.35 , 25.2 , 11.5 , b.d. , 0.31 ,0.77,,7.8,17.5,,,
"Renard Cluster (Quebec, Canada)",Lynx Dyke,Group-1 Kimberlite,,RD-L221-7,Tappe et al. (2017a),655,26.1,1.97,2.09, 0.91 , 7.31 ,0.26, 26.2 , 14.2 , 0.01 ,0.36,0.38,,10.4,19.9,,,
"Renard Cluster (Quebec, Canada)",Lynx Dyke,Group-1 Kimberlite,,RD-L230-5,Tappe et al. (2017a),655,25.4,2.65,2.61, 0.98 , 7.98 ,0.22, 24.8 , 14.3 , 0.01 ,0.48,0.41,,10.8,19.4,,,
"Renard Cluster (Quebec, Canada)",Lynx Dyke,Group-1 Kimberlite,,RD-L230-6,Tappe et al. (2017a),655,29.2,2.53,2.22, 0.74 , 6.01 ,0.20, 29.2 , 10.3 , 0.04 ,0.45,0.16,,8.0,17.8,,,
"Renard Cluster (Quebec, Canada)",Hibou Sill/Dyke,Group-1 Kimberlite,,RD-H5,Tappe et al. (2017a),655,28.9,2.05,1.55, 0.93 , 7.56 ,0.23, 29.0 , 10.5 , 0.02 ,0.38,0.38,,7.8,18.2,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-09-10/1A,Tappe et al. (2017a),629,20.9,3.39,1.64, 0.75 , 6.07 ,0.20, 21.9 , 16.4 , 0.15 ,0.12,0.46,,20.6,26.5,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-09-10/3,Tappe et al. (2017a),629,17.1,3.61,0.98, 0.53 , 4.30 ,0.20, 18.2 , 23.2 , 0.13 ,0.11,0.64,,25.4,28.9,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-09-10/6,Tappe et al. (2017a),629,22.9,2.54,1.24, 0.79 , 6.37 ,0.16, 25.9 , 13.7 , 0.14 ,0.14,0.44,,18.4,24.8,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-09-10/10,Tappe et al. (2017a),629,15.2,1.45,1.09, 0.44 , 3.57 ,0.18, 24.5 , 19.5 , 0.15 ,0.10,0.56,,26.2,31.6,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-10,Tappe et al. (2017a),629,23.5,1.64,0.96, 0.35 , 2.85 ,0.09, 9.4 , 31.8 , 0.12 ,0.12,0.56,,25.0,27.9,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-22-24,Tappe et al. (2017a),629,16.6,2.81,1.36, 1.04 , 8.43 ,0.17, 28.8 , 13.7 , 0.10 ,0.04,0.32,,21.0,25.8,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-22-25,Tappe et al. (2017a),629,24.4,6.61,0.89, 1.28 , 10.31 ,0.16, 29.6 , 7.4 , 0.05 ,0.08,0.27,,7.9,18.1,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-26-1,Tappe et al. (2017a),629,26.6,2.81,1.03, 1.12 , 9.06 ,0.14, 31.2 , 7.4 , 0.07 ,0.05,0.26,,8.7,20.4,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-26-2,Tappe et al. (2017a),629,37.2,3.63,0.73, 0.61 , 4.96 ,0.13, 23.9 , 10.9 , 0.27 ,0.13,0.46,,9.8,16.5,,,
"Wemindji Sill Complex (Quebec, Canada)",Wemindji Sills,Group-1 Kimberlite,,WEM-02-26-3,Tappe et al. (2017a),629,23.7,9.15,0.83, 1.71 , 13.84 ,0.14, 28.1 , 5.7 , 0.03 ,0.05,0.21,,6.1,16.2,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Triple B,Group-1 Kimberlite,,KIA-02 10.0m,Kjarsgaard et al. (2009),,29.62,2.83,4.10,10.36,,0.17,24.24,10.81,0.06,2.23,0.52,7.62,6.78,14.40,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Triple B,Group-1 Kimberlite,,KIA-02 21.40m,Kjarsgaard et al. (2009),,30.13,2.02,3.92,9.07,,0.14,24.44,11.58,0.04,1.82,0.68,8.13,7.37,15.50,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Triple B,Group-1 Kimberlite,,KIA-02  B 5.0m,Kjarsgaard et al. (2009),,30.02,2.58,3.66,9.88,,0.16,23.10,11.50,0.12,2.33,0.77,7.56,7.44,15.00,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Peddie,Group-1 Kimberlite,,KIA97-PP4,Kjarsgaard et al. (2009),,27.00,2.01,1.56,8.81,,0.16,32.00,11.10,0.10,0.27,1.03,,,12.90,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Peddie,Group-1 Kimberlite,,KIA97-PP7,Kjarsgaard et al. (2009),,27.40,2.03,1.55,9.08,,0.20,31.80,11.10,0.11,0.24,1.03,,,12.50,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Peddie,Group-1 Kimberlite,,97MPB78-18B,Kjarsgaard et al. (2009),,26.50,1.92,1.46,9.41,,0.15,29.70,11.50,0.12,0.33,0.90,,,14.10,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Maclean,Group-1 Kimberlite,,MAC-13-28,Kjarsgaard et al. (2009),,25.03,1.62,2.45,6.74,3.90,0.20,25.46,12.81,0.14,0.17,1.97,9.90,6.80,17.70,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Maclean,Group-1 Kimberlite,,MAC-P8A,Kjarsgaard et al. (2009),,24.80,1.67,2.44,6.56,4.00,0.20,24.87,14.92,0.20,0.34,1.91,8.00,7.50,16.55,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Maclean,Group-1 Kimberlite,,MAC-P6,Kjarsgaard et al. (2009),,24.61,1.70,2.32,8.15,3.00,0.20,26.09,12.39,0.23,0.25,2.05,9.90,6.50,17.76,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Maclean,Group-1 Kimberlite,,MAC-16-30,Kjarsgaard et al. (2009),,24.53,1.61,2.28,7.10,3.40,0.20,24.95,13.77,0.25,0.25,1.97,8.70,7.90,18.02,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Maclean,Group-1 Kimberlite,,MAC-21-32,Kjarsgaard et al. (2009),,24.38,1.53,2.21,6.66,3.40,0.20,23.87,14.93,0.18,0.74,1.97,7.70,9.20,17.94,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Guigge,Group-1 Kimberlite,,J5,Kjarsgaard et al. (2009),,32.90,2.11,2.84,4.66,4.60,0.12,28.80,6.42,0.14,2.46,0.31,7.65,5.25,,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming Guigge,Group-1 Kimberlite,,J3,Kjarsgaard et al. (2009),,31.60,1.18,1.62,4.72,4.20,0.13,33.70,6.10,0.18,0.96,0.79,8.02,4.78,,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming SC 95-2,Group-1 Kimberlite,,95-2 D15 159.65,Kjarsgaard et al. (2009),,37.71,0.84,4.00,7.43,,0.18,25.06,6.97,0.29,2.45,0.58,9.91,3.89,13.80,,,
"Lake Timiskaming (Quebec/Ontario, Canada)",Lake Timiskaming SC 95-2,Group-1 Kimberlite,,95-2 D15 143.90,Kjarsgaard et al. (2009),,37.22,0.96,3.94,7.60,,0.21,22.82,8.55,0.33,2.61,0.57,9.01,5.39,14.40,,,
