Supplementary material: Table DR2. Full data set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arc,Sample,Location,Geologycal_age,Domain,Sample_type,Rock_type,Geochemistry Reference,Country,Age  (Ma),error (Ma),Age Reference,Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),,Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,,Li_icpms,Sc_icpms,V_icpms,Co_icpms,Ni_icpms,Cu_icpms,Zn_icpms,Rb_icpms,Sr_icpms,Y_icpms,Nb_icpms,Zr_icpms,Mo_icpms,Cs_icpms,Cd_icpms,Ba_icpms,La_icpms,Ce_icpms,Pr_icpms,Nd_icpms,Sm_icpms,Eu_icpms,Gd_icpms,Tb_icpms,Dy_icpms,Ho_icpms,Er_icpms,Tm_icpms,Yb_icpms,Lu_icpms,Hf_icpms,Ta_icpms,W_icpms,Pb_icpms,Th_icpms,U_icpms,,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb,,87_86Sr,87_86Sr_error,87_86Sr initial,143_144Nd,143_144Nd_error,eNd,TDM ages,206_204Pb,206Pb_error,207_204Pb,207Pb_error,208Pb_204Pb,208Pb_error
Frontal arc,COTA-05-06,Solimana,Quaternary,Paracas,lava,andesite,"Mamani et al., 2009",Peru,0.68,0.03,"Thouret et al., 2007",-73.018,-15.365,59.50,1.17,16.70,6.09,,0.08,2.54,5.24,4.58,2.70,0.49,,,99.09,,5.0,214.0,15.0,1007.0,51.0,8.0,23.0,97.0,52.0,21.0,45.0,34.0,137.0,1196.0,15.0,,10.3,8.2,120.1,39.7,18.0,45.3,98.6,51.4,923.6,12.1,9.4,198.0,1.4,0.7,,1054.7,37.1,72.0,9.7,38.3,6.2,1.5,4.3,0.4,2.3,0.4,0.6,0.1,0.7,0.1,5.0,0.7,135.2,10.0,3.5,0.7,,6.0,52.8,67.1,8.7,3.3,,,,,,,,,,,,,,
Frontal arc,COTA-05-10,Pabellones,Quaternary,Paracas,lava,dacite,"Mamani et al., 2009",Peru,0.34,0.06,"Thouret et al., 2007",-73.072,-15.376,67.30,0.58,16.10,3.30,,0.05,1.02,2.89,4.74,3.33,0.24,,,99.55,,7.0,260.0,11.0,635.0,73.0,13.0,23.0,74.0,24.0,4.0,34.0,10.0,57.0,1321.0,4.0,,15.5,2.8,55.6,26.9,3.8,25.2,71.7,48.0,450.7,6.7,9.2,250.4,1.8,0.5,,1170.6,18.1,37.7,5.1,20.0,3.4,0.7,2.3,0.3,1.4,0.2,0.4,0.1,0.5,0.1,6.5,0.6,119.3,12.3,3.0,0.2,,5.3,34.7,57.7,6.5,2.7,,,,,,,,,,,,,,
Frontal arc,121_019,Andagua,Quaternary,transition,lava,andesite,"Sørensen and Holm, 2008",Peru,,,,-72.328,-15.336,58.37,1.01,16.77,6.19,,0.09,2.74,5.54,5.12,3.02,0.60,,0.12,99.44,,13.1,279.0,14.8,1178.0,78.0,12.0,23.0,105.0,60.0,21.0,14.0,36.0,139.0,1719.0,11.0,,,,,,,,,,,,,,,,,,67.0,128.0,,55.0,,,,,,,,,,,,,,12.0,5.0,,,,,79.6,,,,0.7060,,,0.51248,,-3.2,,,,,,,
Frontal arc,121_133,Andagua,Quaternary,transition,lava,andesite,"Sørensen and Holm, 2008",Peru,,,,-72.328,-15.336,58.32,1.09,16.49,6.40,,0.09,2.70,5.27,4.24,3.35,0.51,,0.82,98.45,,13.2,297.0,15.7,893.0,69.0,13.0,23.0,104.0,74.0,19.0,14.0,31.0,139.0,1522.0,13.0,,,,,,,,,,,,,,,,,,54.0,105.0,,48.0,,,,,,,,,,,,,,13.0,6.0,,,,,56.9,,,,0.7061,,,0.51249,,-2.9,,,,,,,
Frontal arc, VOL35,Andagua,Quaternary,transition,lava,andesite,"Delacour et al., 2007",Peru,,,,-72.328,-15.336,56.20,1.42,16.49,7.12,,0.80,3.70,6.00,4.17,3.13,0.78,,1.47,99.81,,9.0,237.0,16.0,1288.0,61.0,,,,,22.0,,,,1445.0,,,,,,,,,,,,,,,,,,,64.4,129.0,,56.8,9.9,2.3,6.9,,3.5,,1.5,,1.3,,,,,14.0,4.8,,,6.5,51.1,80.5,7.9,2.8,,,,,,,,,,,,,,
Frontal arc, VOL37,Andagua,Quaternary,transition,lava,andesite,"Delacour et al., 2007",Peru,,,,-72.328,-15.336,59.21,1.12,17.30,6.47,,0.70,2.31,5.60,4.86,2.94,0.56,,0.29,101.07,,11.0,278.0,18.0,941.0,75.0,,,,,15.0,,,,1493.0,,,,,,,,,,,,,,,,,,,65.2,129.0,,56.1,8.8,2.3,6.8,,3.4,,1.5,,1.1,,,,,14.0,,,,7.4,57.2,52.3,7.7,3.0,,0.7061,0.0140,,0.51247,0.00600,-3.2,,,,,,,
Frontal arc,AND-99-06    ,Andagua,Quaternary,transition,lava,andesite,"Mamani et al., 2008",Peru,,,,-72.332,-15.413,55.70,1.34,16.70,7.35,,0.10,3.24,6.27,4.76,2.49,0.66,,,98.60,,9.0,222.0,19.0,1239.0,49.0,14.0,21.0,112.0,67.0,26.0,21.0,44.0,166.0,1305.0,13.0,,13.4,10.9,153.2,19.1,27.3,55.6,109.8,48.6,1219.5,14.3,9.7,201.8,1.2,0.6,,1212.3,53.3,114.4,12.8,49.2,7.9,2.1,5.4,0.7,3.1,0.5,1.4,0.2,1.2,0.2,6.4,0.6,14.8,10.8,3.7,0.7,,6.8,45.1,65.2,6.7,2.6,,0.7059,0.0000,0.7059,0.51249,0.00000,-2.9,0.9,,,,,,
Frontal arc,121_061,Andagua,Quaternary,transition,lava,andesite,"Sørensen and Holm, 2008",Peru,,,,-72.339,-15.427,60.54,1.12,16.76,5.61,,0.07,2.34,4.97,4.84,2.87,0.50,,0.09,99.62,,9.9,231.0,11.7,999.0,72.0,11.0,22.0,97.0,58.0,18.0,14.0,23.0,134.0,1305.0,9.0,,,,,,,,,,,,,,,,,,45.0,93.0,,45.0,,,,,,,,,,,,,,11.0,6.0,,,,,85.4,,,,0.7062,,,0.51245,,-3.6,,,,,,,
Frontal arc,121_130,Andagua,Quaternary,transition,lava,dacite,"Sørensen and Holm, 2008",Peru,,,,-72.339,-15.427,63.87,0.92,15.89,4.95,,0.07,1.88,4.23,4.83,3.08,0.41,,0.08,100.13,,9.5,171.0,12.0,864.0,86.0,16.0,23.0,87.0,51.0,16.0,10.0,17.0,102.0,990.0,6.0,,,,,,,,,,,,,,,,,,33.0,71.0,,35.0,,,,,,,,,,,,,,16.0,7.0,,,,,72.0,,,,0.7062,,,0.51246,,-3.5,,,,,,,
Frontal arc,121_064,Andagua,Quaternary,Arequipa,lava,andesite,"Sørensen and Holm, 2008",Peru,,,,-72.339,-15.427,,,,,,,,,,,,,,,,10.7,224.0,11.3,622.0,184.0,19.0,23.0,76.0,42.0,12.0,9.0,12.0,73.0,1152.0,5.0,,,,,,,,,,,,,,,,,,49.0,94.0,,39.0,,,,,,,,,,,,,,19.0,22.0,,,,,55.0,,,,0.7064,,,0.51242,,-4.3,,,,,,,
Frontal arc, VOL25,Andagua,Quaternary,transition,lava,dacite,"Delacour et al., 2007",Peru,,,,-72.333,-15.430,62.42,0.92,16.60,5.16,,0.50,2.00,4.45,4.66,3.50,0.38,,0.81,100.59,,8.0,177.0,11.0,847.0,83.0,,,,,17.0,,29.0,119.0,977.0,,,,,,,,,,,,,,,,,,,36.8,77.8,8.8,35.3,6.4,1.5,4.1,0.5,2.6,0.4,1.0,0.2,0.8,0.1,,,,9.0,5.7,2.5,,5.8,43.8,77.0,7.6,3.1,,0.7062,,,,,,,,,,,,
Frontal arc, VOL29-1,Andagua,Quaternary,transition,lava,andesite,"Delacour et al., 2007",Peru,,,,-72.333,-15.430,59.80,1.50,16.93,5.91,,0.60,2.35,5.10,4.78,2.93,0.43,,0.75,100.33,,9.0,226.0,11.0,972.0,78.0,,,,,18.0,,25.0,134.0,127.0,,,,,,,,,,,,,,,,,,,5.6,12.3,11.4,42.9,6.8,1.8,4.8,0.6,2.6,0.4,1.4,0.1,0.8,0.1,,,,8.0,6.7,1.0,,0.8,7.4,88.4,9.0,3.4,,,,,,,,,,,,,,
Frontal arc, VOL32,Andagua,Quaternary,transition,lava,basaltic andesite,"Delacour et al., 2007",Peru,,,,-72.333,-15.430,55.68,1.25,16.96,7.24,,0.80,3.50,6.66,5.14,2.61,0.62,,0.79,100.46,,11.0,235.0,15.0,1342.0,57.0,,,,,26.0,,5.0,169.0,1438.0,,,,,,,,,,,,,,,,,,,62.2,125.3,14.1,56.4,8.9,2.1,5.5,0.7,3.4,0.5,1.5,0.2,1.2,0.2,,,,7.0,4.2,0.9,,7.0,53.6,89.5,7.7,2.9,,,,,,,,,,,,,,
Frontal arc, VOL22A,Andagua,Quaternary,transition,lava,andesite,"Delacour et al., 2007",Peru,,,,-72.333,-15.430,58.23,1.70,17.19,6.51,,0.70,2.13,4.90,4.74,3.17,0.54,,1.51,99.81,,12.0,292.0,14.0,952.0,8.0,,,,,22.0,,39.0,147.0,1568.0,,,,,,,,,,,,,,,,,,,63.9,125.9,14.3,53.8,8.9,2.6,4.7,0.7,3.6,0.6,1.3,0.2,1.2,0.2,,,,8.0,5.9,1.2,,7.2,55.6,68.0,7.7,3.1,,0.7061,0.0130,,0.51249,0.00600,-3.0,,,,,,,
