SAMPLE ID,REFERENCES,TECTONIC SETTING,Location,Island,LOCATION COMMENT,LATITUDE,LONGITUDE,MIN ELEVATION,MAX ELEVATION,ROCK NAME,MIN AGE,MAX AGE,AGE,ANALYZED MATERIAL,ROCK TYPE,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O,HE,CO2,F,CL,S,LI,BE,B,SC,TI,V,CR,MN,CO,NI,CU,ZN,GA,GE,AS,SE,BR,RB,SR,Y,ZR,NB,MO,RU,PD,AG,CD,INDIUM,SN,SB,TE,I,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,W,RE,OS,IR,PT,AU,TL,PB,BI,TH,U,iso143Nd144Nd,iso87Sr86Sr,iso206Pb204Pb,iso207Pb204Pb,iso208Pb204Pb,iso176Hf177Hf,HE3_HE4,HE3_HE4_R_RA,HE4_HE3,LATITUDE MAX,LONGITUDE MAX,LAND OR SEA,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,B2O3(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),C(PPM),NA,MG,AL,P,K,CA,FE(PPM),RH(PPM),HG(PPM),EPSILON_ND,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,
s_SR0776-17.70 [7011],[7011][6456][6177][8515][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,50.33,2.52,13.17,,,9,10.87,,0.18,7.85,11.04,2.18,0.38,0.26,0.23,,,,,,,,,,30.5,,255,356,,,132,,106,20,,,,,6.2,319,31,168,13.6,,,,,,,,,,,,98.6,11.5,28.57,4.39,21.5,5.49,1.91,6.09,0.944,5.44,1.04,2.69,0.361,2.16,0.28,3.8,1.08,,,,,,,,0.848,,0.859,0.36,,0.512971519,0.703577,18.5213,15.4836,38.1237,0.283119,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,,2209.6,2209.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26148-SR0776-17.70,
s_SR0778-3.20 [7011],[7011][6456][6177][8515][6347][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,49.36,2.2,12.08,,,9.84,10.91,,0.17,10.82,10.7,1.93,0.29,0.22,0.28,,,,,,,,,,29.1,,226,809,,,282,,108,17,,,,,4.66,277,25.9,134,11.1,,,,,,,,,,,,80.4,9.48,24.5,3.66,18,4.74,1.63,5.44,0.866,4.7,0.89,2.37,0.3,1.95,0.25,3.5,0.937,,,,,,,,0.701,,0.747,0.246,,0.512984539,0.703598,18.533,15.4834,38.1286,0.283117,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,,2218.3,2218.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,26148-SR0778-3.20,
s_SR0791-9.50 [7011],[7011][6178][6456][6177][8515][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 3,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,47.5,2.53,12.48,,,7.07,11.92,,0.18,11.49,10.25,1.86,0.11,0.28,4.19,,,,,,,5.33,,,24.8,,228,689,,,375,,125,19,,,,,0.96,289,23.8,150,15.1,,,,,,,,,,,,64.1,11.7,30.21,4.35,20,5.1,1.75,5.36,0.846,4.52,0.86,2.09,0.287,1.73,0.23,3.65,1.031,,,,,,,,0.952,,0.909,0.305,,0.512960502,0.703601,18.4897,15.4703,38.1638,0.283113,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,APHYRIC TO MODERATELY OLIVINE-PHYRIC [6456] ,2280.3,2280.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1297,,,,,,26150-SR0791-9.50,
s_SR0800-13.20 [7011],[7011][6178][6456][6177][8515][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 3,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,46.78,2.22,11.48,,,7.76,11.95,,0.18,13.8,9.86,1.58,0.15,0.21,3.07,,,,,,,3.55,,,25,,206,666,,,497,,122,18,,,,,2.7,241,22.9,115,11.3,,,,,,,,,,,,89.8,8.83,22,3.37,15.6,4.17,1.45,4.81,0.757,4.34,0.82,2.15,0.28,1.69,0.23,2.93,0.755,,,,,,,,0.779,,0.704,0.229,,0.512949485,0.70362,18.5128,15.4895,38.2212,0.283113,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,APHYRIC [6456] ,2321.7,2321.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26150-SR0800-13.20,
s_SR0826-20.60 [7011],[7011][6178][6456][6177][8515][6347][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 3,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,47.37,2.32,11.93,,,6.55,11.82,,0.18,12.69,9.92,1.69,0.16,0.22,4.54,,,,,,,3.39,,,25.7,,210,624,,,458,,116,17,,,,,3.07,256,23.3,122,12,,,,,,,,,,,,103,9.38,23.8,3.63,16.7,4.24,1.5,4.69,0.767,4.39,0.843,2.09,0.334,1.73,0.24,3.14,0.804,,,,,,,,0.856,,0.727,0.276,,0.512951488,0.703588,18.4953,15.4744,38.1928,0.283096,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,APHYRIC TO MODERATELY OLIVINE-PHYRIC [6456] ,2414.2,2414.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26150-SR0826-20.60,
s_SR0836-5.80 [7011],[7011][6178][6456][6177][6664][8515][6347][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 3,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,46.82,2.18,11.69,,,7.83,11.74,,0.18,13.66,9.98,1.68,0.11,0.2,2.49,,,,,,,3.51,,,,,219,655,,,489,,113,18,,,,,1.5,243,22.3,112,10.7,,,,,,,,,,,,73.7,8.69,22.64,3.25,15.55,4.12,1.46,4.64,0.72,4.17,0.78,2.07,0.28,1.58,0.23,2.95,0.756,,0.000914,0.000332,,,,,0.76,,0.648,0.206,,0.512942474,0.703637,18.4974,15.4758,38.1911,0.283113,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,APHYRIC [6456] ,2467.4,2467.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1283,,,,,,26150-SR0836-5.80,
s_SR0842-2.35 [7011],[7011][6178][6456][6177][6664][8515][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 3,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,46.98,2.24,11.56,,,7.95,11.85,,0.18,13.67,9.57,1.86,0.3,0.21,3.17,,,,,,,3.86,,,25.2,,217,607,,,475,,116,17,,,,,6.17,249,23.1,118,11.4,,,,,,,,,,,,104,9.35,23.13,3.55,16.6,4.18,1.49,4.69,0.768,4.33,0.835,2.15,0.3,1.76,0.23,3.19,0.842,,0.000903,0.000116,,,,,0.872,,0.741,0.222,,0.512947482,0.703617,18.4766,15.498,38.1988,0.283106,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,APHYRIC [6456] ,2503.6,2503.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26150-SR0842-2.35,
s_SR0846-2.80 [7011] / s_SR0846-2.8 [6966],[7011][6966][6456][6177][13124][8515][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 3,19.74,19.74,-155.05,,,"THOLEIITE [7011] / BASALT [6966] / BASALT, THOLEIITIC [13124]",,,,WR [7011] / MIN [6966] ,VOL,"HE(CCMSTP/G) from OLIVINE [6966], HE3_HE4(R/R(A)) from OLIVINE [6966]",49.73,2.55,12.33,,,8.88,11.03,,0.18,10,10.21,2.01,0.31,0.26,0.47,,7.1E-09,,,,,,,,27.6,,253,573,,,283,,115,19,,,,,5.2,286,30.5,164,13.5,,,,,,,,,,,,95.2,11.3,28.7,4.44,20.9,5.75,1.94,6.01,1.02,5.54,1.07,2.62,0.388,2.18,0.29,4.1,1,,0.000467,0.000325,,,,,0.909,,0.873,0.294,,0.512984539,0.703547,18.5675,15.4912,38.1635,0.283124,,12.2,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,DOMINANTLY OLIVINE-POOR CLASTS [6456] ,2525.5,2525.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12982,,,,,,26150-SR0846-2.80,
s_SR0850-5.95 [7011],[7011][6456][6177][8515][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6456],,,,WR [7011] ,VOL,,50.28,3.16,13.32,,,10.2,11.55,,0.18,6.44,10.29,2.5,0.51,0.37,0.18,,,,,,,,,,27.8,,287,214,,,94,,125,22,,,,,9.68,359,39.1,227,21.3,,,,,,,,,,,,146,17,42.3,6.11,29.1,7.33,2.51,8.16,1.262,7.06,1.3,3.44,0.45,2.83,0.36,5.34,1.53,,,,,,,,1.24,,1.36,0.59,,0.512986543,0.703578,18.6653,15.4986,38.2366,0.283115,,,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,DOMINANTLY OLIVINE-POOR CLASTS [6456] ,2551,2551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26148-SR0850-5.95,
s_SR0855-0.10 [7011],[7011][6966][6456][6177][8515][6347][6176],OCEAN ISLAND,Hawaii,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1,19.74,19.74,-155.05,,,THOLEIITE [7011] / BASALT [6966],,,,WR [7011] / MIN [6966] ,VOL,"HE(CCMSTP/G) from OLIVINE [6966], HE3_HE4(R/R(A)) from OLIVINE [6966]",50.24,2.46,12.75,,,9.88,10.93,,0.17,8.92,10.36,2.09,0.37,0.27,0.34,,6.51E-09,,,,,,,,27.9,,249,450,,,207,,113,20,,,,,6.44,278,30.9,165,14,,,,,,,,,,,,97.4,11.8,30,4.6,21.9,5.58,1.94,6.14,1.031,5.62,1.1,2.79,0.39,2.26,0.29,4.21,1.14,,,,,,,,0.896,,0.982,0.391,,0.512963507,0.703509,18.6354,15.4968,38.2278,0.283128,,15.6,,"HILO DRILL HOLE, HSDP-2 CORE",-155.05,SAE,,,,DOMINANTLY OLIVINE-POOR CLASTS [6456] ,2581.9,2581.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26148-SR0855-0.10,
