SAMPLE ID,REFERENCES,TECTONIC SETTING,Location,Island,LOCATION COMMENT,LATITUDE,LONGITUDE,MIN ELEVATION,MAX ELEVATION,ROCK NAME,MIN AGE,MAX AGE,AGE,ANALYZED MATERIAL,ROCK TYPE,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,H2O,HE,CO2,F,CL,S,LI,BE,B,SC,TI,V,CR,MN,CO,NI,CU,ZN,GA,GE,AS,SE,BR,RB,SR,Y,ZR,NB,MO,RU,PD,AG,CD,INDIUM,SN,SB,TE,I,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,W,RE,OS,IR,PT,AU,TL,PB,BI,TH,U,iso143Nd144Nd,iso87Sr86Sr,iso206Pb204Pb,iso207Pb204Pb,iso208Pb204Pb,iso176Hf177Hf,HE3_HE4,HE3_HE4_R_RA,HE4_HE3,LATITUDE MAX,LONGITUDE MAX,LAND OR SEA,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,B2O3(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),C(PPM),NA,MG,AL,P,K,CA,FE(PPM),RH(PPM),HG(PPM),EPSILON_ND,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,
s_A1 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51281,0.70383,19.03,15.60,39.35,0.28311,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164528,
s_A2 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51286,0.70393,19.05,15.60,39.40,0.28312,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164529,
s_AMS3 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,48.88,1.53,19.34,,,,,8.79,,0.16,5.09,12.20,2.19,0.62,0.20,0.03,,,,,,,,,,,,209.00,26.00,,,38.00,,82.00,17.00,,,,,15.80,346.00,19.40,107.00,21.00,,,,,,,,,,,,216.00,13.00,28.00,,,,,,,,,,,,,,,,,,,,,,1.00,,2.00,,0.51283,0.70394,19.06,15.61,39.45,0.28314,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164530,
s_AMS4 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,48.91,1.54,19.18,,,,,8.83,,0.16,5.10,12.18,2.20,0.61,0.23,,,,,,,,,,,,,212.00,24.00,,,37.00,,78.00,17.00,,,,,15.60,344.00,18.90,107.00,21.30,,,,,,,,,,,,215.00,11.00,29.00,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,0.51284,0.70393,19.07,15.62,39.48,0.28315,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164531,
s_AMS6 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,49.74,1.91,14.85,,,,,11.00,,0.19,6.12,11.05,2.57,0.65,0.25,0.16,,,,,,,,,,,,272.00,29.00,,,26.00,,102.00,17.00,,,,,16.70,286.00,25.10,130.00,22.60,,,,,,,,,,,,219.00,16.00,34.00,,,,,,,,,,,,,,,,,,,,,,2.00,,2.00,,0.51287,0.70388,19.07,15.61,39.43,0.28315,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164532,
s_NA15 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,49.04,1.52,19.28,,,,,8.71,,0.15,5.10,12.22,2.30,0.60,0.23,0.76,,,,,,,,,,,,203.00,33.00,,,40.00,,74.00,17.00,,,,,15.30,352.00,19.30,103.00,20.60,,,,,,,,,,,,206.00,13.00,26.00,,,,,,,,,,,,,,,,,,,,,,1.00,,2.00,,0.51283,0.70396,19.07,15.62,39.48,0.28313,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164533,
s_NA27 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,48.90,2.31,15.45,,,,,12.02,,0.21,5.73,10.49,2.69,0.63,0.28,0.56,,,,,,,,,,,,301.00,76.00,,,38.00,,105.00,19.00,,,,,9.10,313.00,33.20,156.00,26.10,,,,,,,,,,,,258.00,27.00,48.00,,,,,,,,,,,,,,,,,,,,,,2.00,,3.00,,0.51285,0.70382,19.11,15.62,39.51,0.28312,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164535,
s_NA23 [6897],[6897],OCEAN ISLAND,Amsterdam-Island,AMSTERDAM-ST. PAUL / AMSTERDAM ISLAND,,-37.83,77.55,,,BASALT [6897],,,,WR [6897] ,VOL,,49.73,2.64,14.72,,,,,13.24,,0.21,4.60,8.91,3.11,0.84,0.39,0.69,,,,,,,,,,,,358.00,19.00,,,15.00,,122.00,21.00,,,,,14.30,263.00,31.10,207.00,35.10,,,,,,,,,,,,259.00,17.00,41.00,,,,,,,,,,,,,,,,,,,,,,2.00,,3.00,,0.51283,0.70386,19.13,15.62,39.53,0.28313,,,,-37.83,77.55,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952-NA 23,
s_A-17308 [1392],[1392],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,MUGEARITE [1392],,,,WR [1392] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.90,429.50,,,,,,,,,,,,,,,,,,,62.96,14.03,,,,,,,,,,,,,,,,,,,2.57,,,1.53,0.51305,0.70269,19.43,15.57,38.85,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353-A-17308,
s_AS1 [1195],[1195][3061][3112][476],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,"BASALT, TRANSITIONAL [1195] / BASALT [3061]",,,,WR [1195] ,VOL,,,,,,,,,,,,5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.08,2.20,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51300,0.70285,19.47,15.67,39.19,0.28307,,,,-7.93,-14.37,SAE,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353-AS1,
s_AS10 [1197],[1197][3112][1195][476],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,"BASALT [1197] / BASALT, TRANSITIONAL [3112]",,,,WR [1197] ,VOL,,,,,,,,,,,,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,592.00,36.00,311.00,53.00,,,,,,0.07,2.20,,,,,386.00,37.50,79.50,,40.70,8.90,3.04,,,7.14,,3.62,,,,,,,,,,,,,2.62,,,0.90,0.51300,0.70291,19.66,15.66,39.31,0.28302,,,,-7.93,-14.37,SAE,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353-AS10,
s_AS3 [1197],[1197][3112][1195][476],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,"BASALT [1197] / BASALT, TRANSITIONAL [3112]",,,,WR [1197] ,VOL,,,,,,,,,,,,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.70,449.00,37.00,224.00,42.00,,,,,,,2.20,,,,,310.00,30.40,66.80,,37.90,8.77,2.92,,,7.50,,3.78,,,,,,,,,,,,,2.19,,,0.76,0.51303,0.70279,19.26,15.62,38.86,0.28306,,,,-7.93,-14.37,SAE,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353-AS3,
s_AS5 [1197],[1197][1195],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,"BASALT [1197] / BASALT, TRANSITIONAL [1195]",,,,WR [1197] ,VOL,,,,,,,,,,,,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.10,449.00,52.00,318.00,63.00,,,,,,,,,,,,402.00,45.30,101.00,,56.90,12.80,4.16,,,10.50,,5.28,,,,,,,,,,,,,2.66,,,1.21,0.51306,0.70275,19.43,15.65,39.08,,,,,-7.93,-14.37,SAE,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353-AS5,
s_AI-41 [831],[831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,TRACHYTE [831],,,,WR [831] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.00,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51301,0.70365,19.59,15.61,39.03,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19342,
s_AI-175 [831],[831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,TRACHYTE [831],,,,WR [831] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.00,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51303,0.70312,19.67,15.62,39.19,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19343,
s_AI-67 [831],[831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,TRACHYTE [831],,,,WR [831] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.00,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51300,0.70372,19.69,15.64,39.26,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19345,
s_AI-103 [831],[831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,TRACHYTE [831],,,,WR [831] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.00,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51306,0.70476,19.50,15.63,39.13,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19346,
s_AI-121 [831],[831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,BASALT [831],,,,WR [831] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.00,270.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51303,0.70290,19.57,15.61,39.12,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19349,
s_AI-44 [831],[831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,,-7.93,-14.37,,,BASALT [831],,,,WR [831] ,VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.00,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51303,0.70637,19.71,15.67,39.37,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19350,
s_H81L [834],[834][833][823][827],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,CRICKET VALLEY,-7.93,-14.37,,,HAWAIITE [834] / BASALT [827],,,,WR [834] ,VOL,,51.42,2.61,15.66,,,,,11.04,,0.21,5.30,8.60,3.67,1.36,0.43,0.41,,,,660,511,,,,,,,,,,,,,,,,,,,28.00,366.00,36.00,219.00,42.00,,,,,,,,,,,,,28.00,64.50,,37.30,7.80,2.48,7.90,1.32,,,,0.52,3.37,,,,,,,,,,,0.70,,,,0.51306,0.70292,19.34,15.50,38.88,,,,,-7.93,-14.37,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956-H81L,
s_AI-111 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,COCOANUT BAY,-7.93,-14.37,,,TRACHYTE [829],,,,WR [829] ,VOL,,63.91,0.65,16.81,,,,,4.44,,0.12,0.44,1.62,6.72,4.46,0.34,0.95,,,,,,,,,,13.20,,19.00,2.00,,,,,71.00,28.00,,,,,63.00,184.00,45.00,398.00,68.00,,,,,,,,,,,,1304.00,40.30,83.20,,37.20,8.10,3.51,,1.32,,,,,3.72,0.51,7.88,4.59,,,,,,,,3.00,,6.40,,0.51305,0.70504,19.67,15.67,39.33,,,,,-7.93,-14.37,SAE,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967-AI-111,
s_AI-109 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,RAGGED HILL,-7.93,-14.37,,,TRACHYTE [829],,,,WR [829] ,VOL,,65.35,0.47,15.23,,,,,5.07,,0.16,0.05,0.76,6.36,5.00,0.99,0.58,,,,,,,,,,14.00,,6.00,2.10,,,,,110.00,30.00,,,,,69.00,24.00,56.00,532.00,98.00,,,,,,,,,,,,1153.00,45.30,94.50,,46.70,10.20,3.17,,1.64,,,,,4.96,0.69,10.50,5.83,,,,,,,,3.00,,7.61,,0.51301,0.70595,19.57,15.60,39.12,,,,,-7.93,-14.37,SAE,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-AI-109,
s_AI-79 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,BEARS BACK,-7.93,-14.37,,,TRACHYTE [829],,,,WR [829] ,VOL,,66.00,0.41,15.69,,,,,4.75,,0.24,0.17,0.73,6.73,4.67,0.08,0.29,,,,,,,,,,9.70,,3.00,3.10,,,3.00,,167.00,35.00,,,,,79.00,29.00,79.00,733.00,123.00,,,,,,,,,,,,710.00,71.80,136.00,,68.90,13.90,3.04,,2.08,,,,,6.20,0.82,13.70,6.70,,,,,,,,6.00,,9.07,,0.51302,0.70361,19.67,15.62,39.23,,,,,-7.93,-14.37,SAE,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969-AI-79,
s_AI-96 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,MIDDLETON^S RIDGE,-7.93,-14.37,,,TRACHYTE [829],,,,WR [829] ,VOL,,68.82,0.40,14.18,,,,,4.27,,0.19,0.22,0.68,6.18,4.52,0.06,-0.08,,,,,,,,,,9.60,,5.00,1.70,,,,,167.00,34.00,,,,,87.00,10.48,85.00,954.00,134.00,,,,,,,,,,,,516.00,71.90,139.00,,68.60,15.60,3.20,,2.55,,,,,7.25,1.00,20.10,8.06,,,,,,,,7.00,,11.10,,0.51303,0.70405,19.63,15.63,39.24,,,,,-7.93,-14.37,SAE,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970-AI-96,
s_AI-91 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,DALY^S CRAGS,-7.93,-14.37,,,TRACHYTE [829],,,,WR [829] ,VOL,,67.39,0.35,15.60,,,,,3.89,,0.13,0.09,0.40,6.57,5.10,0.05,0.25,,,,,,,,,,5.70,,4.00,3.20,,,2.00,,155.00,33.00,,,,,109.00,7.08,84.00,1248.00,184.00,,,,,,,,,,,,219.00,73.20,165.00,,63.00,12.90,2.15,,2.18,,,,,6.99,1.02,22.30,10.40,,,,,,,,7.00,,14.30,,0.51299,0.70719,19.75,15.64,39.34,,,,,-7.93,-14.37,SAE,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971-AI-91,
s_AI-177 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,LITTLE WHITE HILL,-7.93,-14.37,,,RHYOLITE [829],,,,WR [829] ,VOL,,73.75,0.14,12.76,,,,,2.67,,0.08,0.02,0.32,5.28,4.65,0.03,0.36,,,,,,,,,,1.40,,5.00,0.90,,,,,189.00,35.00,,,,,161.00,1.53,137.00,968.00,212.00,,,,,,,,,,,,24.00,91.90,189.00,,81.00,19.10,1.21,,3.59,,,,,11.90,1.56,23.80,13.60,,,,,,,,11.00,,19.40,,0.51303,0.70892,19.52,15.62,39.12,,,,,-7.93,-14.37,SAE,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974-AI-177,
s_AI-120 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,HUMMOCK POINT,-7.93,-14.37,,,BASALT [829],,,,WR [829] ,VOL,,63.59,0.52,16.25,,,,,5.14,,0.19,0.60,2.00,6.82,4.20,0.12,4.67,,,,,,,,,,10.30,,5.00,1.90,,,2.00,,149.00,28.00,,,,,75.00,114.00,69.00,766.00,122.00,,,,,,,,,,,,868.00,62.60,128.00,,59.80,12.50,3.61,,1.94,,,,,5.96,0.84,13.60,6.87,,,,,,,,5.00,,8.85,,0.51302,0.70326,19.62,15.61,39.13,,,,,-7.93,-14.37,SAE,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975-AI-120,
s_AI-42 [829],[829][831],OCEAN ISLAND,Ascension,ASCENSION / ASCENSION,DEVIL^S RIDING SCHOOL,-7.93,-14.37,,,RHYOLITE [829] / BASALT [831],,,,WR [829] ,VOL,,72.07,0.23,13.26,,,,,3.94,,0.12,0.25,0.42,3.58,5.66,0.03,5.25,,,,,,,,,,1.70,,6.00,3.10,,,2.00,,256.00,35.00,,,,,188.00,7.26,148.00,1743.00,261.00,,,,,,,,,,,,21.00,139.00,254.00,,113.00,24.20,2.31,,3.95,,,,,11.20,1.66,33.40,15.60,,,,,,,,14.00,,25.10,,0.51300,0.70760,19.69,15.65,39.33,,,,,-7.93,-14.37,SAE,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-AI-42,
s_AIT-36 [24409],[24409],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,,-18.80,-159.80,,,"BASALT, THOLEIITIC [24409]",,,,WR [24409],VOL,,44.03,3.29,15.23,,,,,13.35,,0.20,5.85,11.50,2.31,0.97,0.50,2.28,,,,,,,,,,19.15,,350.40,1.70,,,39.20,53.60,131.20,22.20,,,,,23.19,661.20,31.88,230.97,53.69,,,,,,,,,,,0.33,315.62,44.38,89.30,10.66,42.52,8.99,2.84,8.21,1.25,6.99,1.29,3.16,0.43,2.51,0.37,5.37,3.51,,,,,,,,3.00,,5.56,1.31,0.51277,0.70426,19.68,15.66,39.52,0.28292,,,,-18.8,-159.8,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936397,
s_AIT-22B [809],[809][814],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,MAIN ISLAND,-18.87,-159.77,,,"NEPHELINITE, OLIVINE [809] / NEPHELINITE [814]",,,,WR [809],VOL,,,,,,,,,,,,,,,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,37.40,1538.00,,,,,,,,,,,,,,,,,,,63.20,12.10,,,,,,,,,,,,,,,,,,,11.40,,20.60,3.36,0.51278,0.70440,18.70,15.57,38.75,,,,,-18.87,-159.77,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4738-AIT-22B,
s_AKI-01 [4070],[4070],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,MOTURAKAU ISLET,-18.87,-159.77,,,BASALT [4070],,,,WR [4070],VOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,0.51272,0.70443,18.65,15.54,38.69,,,,,-18.87,-159.77,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,72296,
s_AK1024  [24409],[24409],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,,-18.84,-159.78,,,"BASALT, ALKALINE [24409]",,,,WR [24409],VOL,,44.70,2.31,10.23,,,,,11.08,,0.15,12.58,14.31,1.11,0.48,0.26,2.02,,,,,,,,,,43.76,,298.00,1271.80,,,266.00,87.90,84.30,14.10,,,,,11.00,382.03,20.78,143.18,28.20,,,,,,,,,,,0.17,146.32,23.67,49.61,6.20,25.38,5.73,1.86,5.38,0.82,4.60,0.85,2.05,0.27,1.61,0.23,3.70,1.85,,,,,,,,1.77,,3.01,0.62,0.51280,0.70445,19.66,15.68,39.55,0.28293,,,,-18.83755,-159.7834333,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936396,
s_AK1019  [24409],[24409],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,,-18.83,-159.77,,,NEPHELINITE [24409],,,,WR [24409],VOL,,38.56,2.73,11.50,,,,,13.77,,0.21,11.25,12.14,4.96,1.79,1.24,1.02,,,,,,,,,,16.74,,188.35,186.16,,,160.89,47.26,152.14,19.90,,,,,62.41,1423.26,34.51,246.86,110.02,,,,,,,,,,,1.88,1050.35,115.83,213.91,22.02,80.84,15.33,4.67,12.53,1.72,8.56,1.40,2.94,0.35,1.85,0.25,5.47,5.83,,,,,,,,11.69,,23.50,3.87,0.51279,0.70451,18.73,15.61,38.88,0.28291,,,,-18.83205,-159.7743833,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936394,
s_AK1020 [24409],[24409],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,,-18.85,-159.79,,,"BASALT, TRANSITIONAL [24409]",,,,WR [24409],VOL,,43.45,2.21,11.46,,,,,12.17,,0.18,12.55,10.20,1.81,0.58,0.69,3.86,,,,,,,,,,21.62,,176.40,652.30,,,474.30,44.40,124.10,18.50,,,,,24.63,859.41,25.81,169.91,53.03,,,,,,,,,,,1.22,699.51,50.99,86.29,10.24,40.19,8.70,2.90,8.06,1.14,5.97,1.01,2.30,0.29,1.59,0.22,3.86,3.03,,,,,,,,4.54,,8.44,1.45,0.51274,0.70473,18.68,15.61,38.85,0.28286,,,,-18.8474,-159.7918,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936395,
s_AK1001  [24409],[24409],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,,-18.93,-159.75,,,BASANITE [24409],,,,WR [24409],VOL,,39.79,2.58,11.22,,,,,12.33,,0.19,11.01,12.86,3.84,1.79,1.10,2.56,,,,,,,,,,18.07,,190.74,248.85,,,188.15,48.56,131.14,18.61,,,,,43.02,1067.47,31.66,232.33,85.33,,,,,,,,,,,0.59,236.63,86.06,165.34,17.61,67.07,13.54,4.21,11.29,1.55,7.74,1.28,2.78,0.33,1.79,0.23,4.93,4.67,,,,,,,,9.36,,16.12,1.76,0.51273,0.70487,18.97,15.64,39.22,0.28289,,,,-18.9258,-159.7496167,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936392,
s_AIT-64A [809] / s_AIT-64A_UNLEACHED [814],[809][814],OCEAN ISLAND,Austral Cook: EM,AUSTRAL-COOK ISLANDS / AITUTAKI,MOTURAKAU ISLET,-18.87,-159.77,,,NEPHELINITE [809],,,,WR [809],VOL,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,31.10,983.00,,,,,,,,,,,,,,,,,,,57.20,10.60,,,,,,,,,,,,,,,,,,,7.89,,13.60,2.38,0.51277,0.70488,18.92,15.58,39.02,,,,,-18.87,-159.77,SAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6418-AIT-64A,
