sample location,,Morro de los Halcones,,,Pozzo Negro,,,Morro del Halconcillo,,Caracol,,,,
sample name,,H1,H2,H3,PN1,PN2,PN3,MH1,MH2,C1,C2,C3,C4,
major elements,,,,,,,,,,,,,,
Cs,ppm,0.915,0.061,0.290,0.140,0.110,0.303,0.404,0.436,0.225,0.168,0.117,0.097,
Mo,ppm,3.37,2.21,0.89,2.20,1.02,3.54,6.26,7.18,6.24,6.96,7.36,5.74,
W,ppm,1.288,0.403,1.096,0.307,0.177,0.441,0.923,1.015,1.011,1.061,0.662,0.642,
matrix modal proportion,,,,,,,,,,,,,,
ol,,-,-,-,x,-,x,x,x,x,-,x,x,
cpx,,x,x,-,x,x,x,x,x,x,x,x,x,
plg,,x,x,(x),x,x,x,x,x,x,x,x,x,
amp,,-,-,-,-,-,-,-,-,-,-,-,-,
ox,,x,x,x,x,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,,
phenocryst modal proportion,,,,,,,,,,,,,,
ol,,-,5 - 7,-,15,7,5,<1,-,-,-,<1,3,
cpx,,3 - 5,-,-,-,7,-,7,<1,<1,<1,2,7,
plg,,-,-,(10),-,-,-,2 - 3,>1,<1,<1,<1,-,
amp,,3 - 5,-,-,-,-,-,-,<1,-,-,-,-,
size of phenocrysts (mm),,,,,,,,,,,,,,
ol,,-,0.1 - 0.5,-,0.1 - 1,0.1 - 0.5,>1,1,-,-,-,0,>1,
cpx,,>2,-,-,-,0.1 - 0.5,-,1 - 5,0.1 - 1,>1,>1,>2,>3,
plg,,-,-,>5,-,-,-,>1,0.1 - 1,>1,0,0,-,
amp,,>1,-,-,-,-,-,-,1,-,-,-,-,
Additional notes on texture:,,,,,,,,,,,,,,
,,,ol iddingsitized,,,,,,ol iddingsitized,,,,,
,,,cumulates cpx+ox,,,,,cumulates cpx+plg,cumulates cpx+plg,cumulates cpx+plg,cumulates cpx+plg,,,
,,,,,,,,plg+ox included in cpx,,,,,,
,,,,,,,,,plg and cpx with core resorption,,,,cpx with internal resorption,
